step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    3.5s
step    10000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    7.0s
step    15000 | reward(last100)  0.0000 | sigma 0.0300 | elapsed   19.2s
step    20000 | reward(last100)  0.0000 | sigma 0.0285 | elapsed   31.5s
step    25000 | reward(last100)  0.0000 | sigma 0.0274 | elapsed   43.7s
step    30000 | reward(last100)  0.0013 | sigma 0.0267 | elapsed   55.9s
step    35000 | reward(last100)  0.0011 | sigma 0.0265 | elapsed   68.2s
step    40000 | reward(last100)  0.0010 | sigma 0.0263 | elapsed   80.4s
step    45000 | reward(last100)  0.0010 | sigma 0.0262 | elapsed   92.7s
step    50000 | reward(last100)  0.0010 | sigma 0.0261 | elapsed  105.0s
step    55000 | reward(last100)  0.0010 | sigma 0.0261 | elapsed  118.4s
step    60000 | reward(last100)  0.0010 | sigma 0.0260 | elapsed  131.0s
step    65000 | reward(last100)  0.0000 | sigma 0.0260 | elapsed  143.6s
step    70000 | reward(last100)  0.0000 | sigma 0.0259 | elapsed  156.3s
step    75000 | reward(last100)  0.0000 | sigma 0.0259 | elapsed  168.8s
step    80000 | reward(last100)  0.0000 | sigma 0.0259 | elapsed  181.4s
step    85000 | reward(last100)  0.0000 | sigma 0.0258 | elapsed  193.9s
step    90000 | reward(last100)  0.0000 | sigma 0.0258 | elapsed  206.5s
step    95000 | reward(last100)  0.0000 | sigma 0.0257 | elapsed  219.1s
step   100000 | reward(last100)  0.0000 | sigma 0.0257 | elapsed  231.7s
step   105000 | reward(last100)  0.0000 | sigma 0.0257 | elapsed  253.7s
step   110000 | reward(last100)  0.0000 | sigma 0.0256 | elapsed  269.9s
step   115000 | reward(last100)  0.0000 | sigma 0.0256 | elapsed  282.5s
step   120000 | reward(last100)  0.0000 | sigma 0.0256 | elapsed  295.1s
step   125000 | reward(last100)  0.0000 | sigma 0.0256 | elapsed  309.8s
step   130000 | reward(last100)  0.0000 | sigma 0.0255 | elapsed  325.5s
step   135000 | reward(last100)  0.0000 | sigma 0.0255 | elapsed  345.4s
step   140000 | reward(last100)  0.0000 | sigma 0.0255 | elapsed  365.2s
step   145000 | reward(last100)  0.0000 | sigma 0.0255 | elapsed  385.0s
step   150000 | reward(last100)  0.0000 | sigma 0.0255 | elapsed  404.7s
step   155000 | reward(last100)  0.0000 | sigma 0.0255 | elapsed  424.5s
step   160000 | reward(last100)  0.0000 | sigma 0.0255 | elapsed  442.3s
step   165000 | reward(last100)  0.0000 | sigma 0.0255 | elapsed  459.8s
step   170000 | reward(last100)  0.0000 | sigma 0.0255 | elapsed  476.1s
step   175000 | reward(last100)  0.0000 | sigma 0.0255 | elapsed  494.8s
step   180000 | reward(last100)  0.0000 | sigma 0.0255 | elapsed  514.7s
step   185000 | reward(last100)  0.0000 | sigma 0.0255 | elapsed  529.3s
step   190000 | reward(last100)  0.0000 | sigma 0.0255 | elapsed  543.3s
step   195000 | reward(last100)  0.0000 | sigma 0.0254 | elapsed  555.9s
step   200000 | reward(last100)  0.0000 | sigma 0.0254 | elapsed  568.5s
step   205000 | reward(last100)  0.0000 | sigma 0.0254 | elapsed  581.7s
step   210000 | reward(last100)  0.0000 | sigma 0.0254 | elapsed  594.5s
step   215000 | reward(last100)  0.0000 | sigma 0.0254 | elapsed  608.1s
step   220000 | reward(last100)  0.0000 | sigma 0.0254 | elapsed  621.3s
step   225000 | reward(last100)  0.0000 | sigma 0.0254 | elapsed  634.5s
step   230000 | reward(last100)  0.0000 | sigma 0.0254 | elapsed  647.7s
step   235000 | reward(last100)  0.0000 | sigma 0.0254 | elapsed  660.9s
step   240000 | reward(last100)  0.0000 | sigma 0.0254 | elapsed  675.1s
step   245000 | reward(last100)  0.0000 | sigma 0.0254 | elapsed  690.5s
step   250000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  706.0s
step   255000 | reward(last100)  0.0000 | sigma 0.0254 | elapsed  720.5s
step   260000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  734.7s
step   265000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  749.7s
step   270000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  765.8s
step   275000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  781.8s
step   280000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  797.6s
step   285000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  813.6s
step   290000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  829.9s
step   295000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  846.3s
step   300000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  862.8s
step   305000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  880.4s
step   310000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  898.4s
step   315000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  916.8s
step   320000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  936.0s
step   325000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  955.3s
step   330000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  973.9s
step   335000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  992.4s
step   340000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed 1011.0s
step   345000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed 1029.8s
step   350000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed 1045.6s
step   355000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed 1062.7s
step   360000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed 1078.8s
step   365000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed 1094.8s
step   370000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed 1110.5s
step   375000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed 1126.2s
step   380000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed 1141.9s
step   385000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed 1157.8s
step   390000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed 1175.2s
step   395000 | reward(last100)  0.0000 | sigma 0.0252 | elapsed 1192.7s
step   400000 | reward(last100)  0.0000 | sigma 0.0252 | elapsed 1210.3s
step   405000 | reward(last100)  0.0000 | sigma 0.0252 | elapsed 1228.9s
step   410000 | reward(last100)  0.0000 | sigma 0.0252 | elapsed 1251.4s
step   415000 | reward(last100)  0.0000 | sigma 0.0252 | elapsed 1274.9s
step   420000 | reward(last100)  0.0000 | sigma 0.0252 | elapsed 1293.3s
step   425000 | reward(last100)  0.0000 | sigma 0.0252 | elapsed 1309.3s
step   430000 | reward(last100)  0.0000 | sigma 0.0252 | elapsed 1325.4s
step   435000 | reward(last100)  0.0000 | sigma 0.0252 | elapsed 1342.2s
step   440000 | reward(last100)  0.0000 | sigma 0.0252 | elapsed 1360.1s
step   445000 | reward(last100)  0.0000 | sigma 0.0252 | elapsed 1378.0s
step   450000 | reward(last100)  0.0000 | sigma 0.0252 | elapsed 1396.0s
step   455000 | reward(last100)  0.0000 | sigma 0.0252 | elapsed 1414.2s
step   460000 | reward(last100)  0.0083 | sigma 0.0253 | elapsed 1430.3s
step   465000 | reward(last100)  0.0083 | sigma 0.0252 | elapsed 1446.3s
step   470000 | reward(last100)  0.0083 | sigma 0.0249 | elapsed 1463.6s
step   475000 | reward(last100)  0.0083 | sigma 0.0247 | elapsed 1481.4s
step   480000 | reward(last100)  0.0083 | sigma 0.0246 | elapsed 1498.9s
step   485000 | reward(last100)  0.0083 | sigma 0.0245 | elapsed 1516.4s
step   490000 | reward(last100)  0.0083 | sigma 0.0244 | elapsed 1535.4s
step   495000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed 1557.0s
step   500000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed 1578.7s
step   505000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed 1594.5s
step   510000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1609.9s
step   515000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed 1625.2s
step   520000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1640.6s
step   525000 | reward(last100)  0.0000 | sigma 0.0233 | elapsed 1655.9s
step   530000 | reward(last100)  0.0000 | sigma 0.0232 | elapsed 1671.2s
step   535000 | reward(last100)  0.0000 | sigma 0.0230 | elapsed 1686.5s
step   540000 | reward(last100)  0.0000 | sigma 0.0229 | elapsed 1701.7s
step   545000 | reward(last100)  0.0000 | sigma 0.0228 | elapsed 1716.9s
step   550000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed 1732.0s
step   555000 | reward(last100)  0.0000 | sigma 0.0226 | elapsed 1750.3s
step   560000 | reward(last100)  0.0000 | sigma 0.0226 | elapsed 1767.2s
step   565000 | reward(last100)  0.0000 | sigma 0.0225 | elapsed 1783.9s
step   570000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1799.6s
step   575000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1814.7s
step   580000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1829.8s
step   585000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1844.9s
step   590000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1860.0s
step   595000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1875.1s
step   600000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1890.3s
step   605000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1909.2s
step   610000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1928.0s
step   615000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1946.6s
step   620000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1965.4s
step   625000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1982.4s
step   630000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1997.7s
step   635000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 2012.9s
step   640000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2028.2s
step   645000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2043.4s
step   650000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2058.7s
step   655000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2075.1s
step   660000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2090.9s
step   665000 | reward(last100)  0.0013 | sigma 0.0221 | elapsed 2106.6s
step   670000 | reward(last100)  0.0013 | sigma 0.0220 | elapsed 2122.3s
step   675000 | reward(last100)  0.0013 | sigma 0.0221 | elapsed 2138.1s
step   680000 | reward(last100)  0.0013 | sigma 0.0221 | elapsed 2153.8s
step   685000 | reward(last100)  0.0013 | sigma 0.0221 | elapsed 2169.6s
step   690000 | reward(last100)  0.0013 | sigma 0.0221 | elapsed 2185.5s
step   695000 | reward(last100)  0.0013 | sigma 0.0221 | elapsed 2201.4s
step   700000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2217.3s
step   705000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2233.7s
step   710000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2250.0s
step   715000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2268.4s
step   720000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2285.1s
step   725000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2302.9s
step   730000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2320.6s
step   735000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2338.4s
step   740000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2356.3s
step   745000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2374.3s
step   750000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2392.2s
step   755000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2412.3s
step   760000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2431.2s
step   765000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2454.3s
step   770000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2477.6s
step   775000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2501.0s
step   780000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2523.7s
step   785000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2540.2s
step   790000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2556.8s
step   795000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2573.4s
step   800000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2591.8s
step   805000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2608.8s
step   810000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2626.7s
step   815000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2643.6s
step   820000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2660.3s
step   825000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2676.9s
step   830000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2693.5s
step   835000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2710.2s
step   840000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2726.9s
step   845000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2743.6s
step   850000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2760.5s
step   855000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2779.5s
step   860000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2796.6s
step   865000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2813.2s
step   870000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2829.9s
step   875000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2846.5s
step   880000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2863.1s
step   885000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2879.7s
step   890000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2896.4s
step   895000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2913.1s
step   900000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2929.7s
step   905000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2946.9s
step   910000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2963.7s
step   915000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2980.7s
step   920000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2997.6s
step   925000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3014.6s
step   930000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3031.5s
step   935000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3048.4s
step   940000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3065.3s
step   945000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3082.2s
step   950000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3099.1s
step   955000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3118.4s
step   960000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3137.0s
step   965000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3153.7s
step   970000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3170.3s
step   975000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3186.9s
step   980000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3203.5s
step   985000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3220.1s
step   990000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3236.8s
step   995000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3253.4s
step  1000000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3270.0s
step  1005000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3287.0s
step  1010000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3303.7s
step  1015000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3320.3s
step  1020000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3336.9s
step  1025000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3353.6s
step  1030000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3370.2s
step  1035000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3386.7s
step  1040000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3403.2s
step  1045000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3419.7s
step  1050000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3436.2s
step  1055000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3452.9s
step  1060000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3470.3s
step  1065000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3486.8s
step  1070000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3503.2s
step  1075000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3519.7s
step  1080000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3536.2s
step  1085000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3553.9s
step  1090000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3571.7s
step  1095000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3589.5s
step  1100000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3607.2s
step  1105000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3624.2s
step  1110000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3640.7s
step  1115000 | reward(last100)  0.0000 | sigma 0.0218 | elapsed 3657.1s
step  1120000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3673.5s
step  1125000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 3689.9s
