step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    4.2s
step    10000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    8.7s
step    15000 | reward(last100)  0.0000 | sigma 0.0302 | elapsed   27.8s
step    20000 | reward(last100)  0.0244 | sigma 0.0290 | elapsed   50.6s
step    25000 | reward(last100)  0.0414 | sigma 0.0278 | elapsed   72.1s
step    30000 | reward(last100)  0.0104 | sigma 0.0269 | elapsed   92.7s
step    35000 | reward(last100)  0.0585 | sigma 0.0262 | elapsed  113.5s
step    40000 | reward(last100)  0.0545 | sigma 0.0259 | elapsed  131.1s
step    45000 | reward(last100)  0.0524 | sigma 0.0257 | elapsed  149.2s
step    50000 | reward(last100)  0.1010 | sigma 0.0256 | elapsed  169.1s
step    55000 | reward(last100)  0.1166 | sigma 0.0256 | elapsed  181.8s
step    60000 | reward(last100)  0.1566 | sigma 0.0255 | elapsed  193.2s
step    65000 | reward(last100)  0.1989 | sigma 0.0255 | elapsed  204.6s
step    70000 | reward(last100)  0.3497 | sigma 0.0254 | elapsed  216.5s
step    75000 | reward(last100)  0.5191 | sigma 0.0254 | elapsed  229.5s
step    80000 | reward(last100)  0.6915 | sigma 0.0252 | elapsed  242.6s
step    85000 | reward(last100)  0.3120 | sigma 0.0251 | elapsed  255.6s
step    90000 | reward(last100)  0.3981 | sigma 0.0248 | elapsed  268.7s
step    95000 | reward(last100)  0.0537 | sigma 0.0246 | elapsed  281.8s
step   100000 | reward(last100)  0.0071 | sigma 0.0244 | elapsed  294.8s
step   105000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  306.5s
step   110000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  317.9s
step   115000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed  329.6s
step   120000 | reward(last100)  0.0137 | sigma 0.0242 | elapsed  341.4s
step   125000 | reward(last100)  0.0950 | sigma 0.0241 | elapsed  353.8s
step   130000 | reward(last100)  0.1134 | sigma 0.0241 | elapsed  366.0s
step   135000 | reward(last100)  0.1762 | sigma 0.0241 | elapsed  377.4s
step   140000 | reward(last100)  0.2210 | sigma 0.0241 | elapsed  388.7s
step   145000 | reward(last100)  0.3684 | sigma 0.0241 | elapsed  400.4s
step   150000 | reward(last100)  0.4214 | sigma 0.0241 | elapsed  412.0s
step   155000 | reward(last100)  0.5221 | sigma 0.0241 | elapsed  425.7s
step   160000 | reward(last100)  0.5496 | sigma 0.0241 | elapsed  439.0s
step   165000 | reward(last100)  0.5614 | sigma 0.0241 | elapsed  451.1s
step   170000 | reward(last100)  0.7175 | sigma 0.0241 | elapsed  463.1s
step   175000 | reward(last100)  0.3176 | sigma 0.0240 | elapsed  476.5s
step   180000 | reward(last100)  0.2948 | sigma 0.0240 | elapsed  489.5s
step   185000 | reward(last100)  0.1099 | sigma 0.0240 | elapsed  501.8s
step   190000 | reward(last100)  0.1385 | sigma 0.0239 | elapsed  513.9s
step   195000 | reward(last100)  0.1797 | sigma 0.0239 | elapsed  525.9s
step   200000 | reward(last100)  0.3233 | sigma 0.0239 | elapsed  539.4s
step   205000 | reward(last100)  0.4666 | sigma 0.0239 | elapsed  552.0s
step   210000 | reward(last100)  0.5409 | sigma 0.0239 | elapsed  563.8s
step   215000 | reward(last100)  0.5718 | sigma 0.0239 | elapsed  576.2s
step   220000 | reward(last100)  0.5146 | sigma 0.0239 | elapsed  588.4s
step   225000 | reward(last100)  0.5802 | sigma 0.0239 | elapsed  601.5s
step   230000 | reward(last100)  0.5695 | sigma 0.0239 | elapsed  617.0s
step   235000 | reward(last100)  0.6082 | sigma 0.0239 | elapsed  629.7s
step   240000 | reward(last100)  0.6235 | sigma 0.0238 | elapsed  642.5s
step   245000 | reward(last100)  0.5292 | sigma 0.0239 | elapsed  655.1s
step   250000 | reward(last100)  0.6630 | sigma 0.0239 | elapsed  667.9s
step   255000 | reward(last100)  0.4977 | sigma 0.0238 | elapsed  680.8s
step   260000 | reward(last100)  0.5503 | sigma 0.0238 | elapsed  693.3s
step   265000 | reward(last100)  0.5562 | sigma 0.0238 | elapsed  705.8s
step   270000 | reward(last100)  0.6094 | sigma 0.0238 | elapsed  721.5s
step   275000 | reward(last100)  0.6948 | sigma 0.0238 | elapsed  738.9s
step   280000 | reward(last100)  0.4032 | sigma 0.0238 | elapsed  756.4s
step   285000 | reward(last100)  0.5191 | sigma 0.0238 | elapsed  773.9s
step   290000 | reward(last100)  0.4716 | sigma 0.0238 | elapsed  791.7s
step   295000 | reward(last100)  0.5793 | sigma 0.0238 | elapsed  809.9s
step   300000 | reward(last100)  0.5746 | sigma 0.0237 | elapsed  828.3s
step   305000 | reward(last100)  0.5964 | sigma 0.0237 | elapsed  843.3s
step   310000 | reward(last100)  0.5058 | sigma 0.0237 | elapsed  857.4s
