step     5000 | reward(last100)  0.0037 | sigma 0.0309 | elapsed    4.2s
step    10000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    8.7s
step    15000 | reward(last100)  0.0240 | sigma 0.0300 | elapsed   24.4s
step    20000 | reward(last100)  0.0049 | sigma 0.0288 | elapsed   40.1s
step    25000 | reward(last100)  0.0374 | sigma 0.0277 | elapsed   56.5s
step    30000 | reward(last100)  0.0495 | sigma 0.0269 | elapsed   72.7s
step    35000 | reward(last100)  0.0714 | sigma 0.0266 | elapsed   88.8s
step    40000 | reward(last100)  0.1096 | sigma 0.0265 | elapsed  105.0s
step    45000 | reward(last100)  0.1701 | sigma 0.0264 | elapsed  121.7s
step    50000 | reward(last100)  0.1918 | sigma 0.0263 | elapsed  140.7s
step    55000 | reward(last100)  0.1923 | sigma 0.0262 | elapsed  161.8s
step    60000 | reward(last100)  0.2941 | sigma 0.0261 | elapsed  182.1s
step    65000 | reward(last100)  0.3916 | sigma 0.0260 | elapsed  201.0s
step    70000 | reward(last100)  0.2933 | sigma 0.0258 | elapsed  219.4s
step    75000 | reward(last100)  0.2102 | sigma 0.0257 | elapsed  239.0s
step    80000 | reward(last100)  0.0943 | sigma 0.0257 | elapsed  258.9s
step    85000 | reward(last100)  0.3503 | sigma 0.0256 | elapsed  279.0s
step    90000 | reward(last100)  0.1566 | sigma 0.0255 | elapsed  298.1s
step    95000 | reward(last100)  0.2008 | sigma 0.0255 | elapsed  319.7s
step   100000 | reward(last100)  0.0420 | sigma 0.0254 | elapsed  340.6s
step   105000 | reward(last100)  0.1339 | sigma 0.0254 | elapsed  355.9s
step   110000 | reward(last100)  0.1989 | sigma 0.0254 | elapsed  369.8s
step   115000 | reward(last100)  0.1611 | sigma 0.0254 | elapsed  383.2s
step   120000 | reward(last100)  0.1896 | sigma 0.0253 | elapsed  399.1s
step   125000 | reward(last100)  0.0925 | sigma 0.0253 | elapsed  417.2s
step   130000 | reward(last100)  0.1909 | sigma 0.0253 | elapsed  434.5s
step   135000 | reward(last100)  0.2111 | sigma 0.0253 | elapsed  449.7s
step   140000 | reward(last100)  0.1461 | sigma 0.0253 | elapsed  466.6s
step   145000 | reward(last100)  0.1960 | sigma 0.0253 | elapsed  482.8s
step   150000 | reward(last100)  0.2443 | sigma 0.0253 | elapsed  498.1s
step   155000 | reward(last100)  0.3347 | sigma 0.0252 | elapsed  516.7s
step   160000 | reward(last100)  0.3602 | sigma 0.0252 | elapsed  535.5s
step   165000 | reward(last100)  0.3695 | sigma 0.0252 | elapsed  550.9s
step   170000 | reward(last100)  0.3706 | sigma 0.0252 | elapsed  564.8s
step   175000 | reward(last100)  0.5271 | sigma 0.0251 | elapsed  582.0s
step   180000 | reward(last100)  0.5033 | sigma 0.0251 | elapsed  600.9s
step   185000 | reward(last100)  0.4795 | sigma 0.0251 | elapsed  617.0s
step   190000 | reward(last100)  0.3535 | sigma 0.0251 | elapsed  632.6s
step   195000 | reward(last100)  0.4365 | sigma 0.0251 | elapsed  647.8s
step   200000 | reward(last100)  0.4953 | sigma 0.0251 | elapsed  663.4s
step   205000 | reward(last100)  0.5840 | sigma 0.0250 | elapsed  678.7s
step   210000 | reward(last100)  0.6310 | sigma 0.0250 | elapsed  695.4s
step   215000 | reward(last100)  0.5699 | sigma 0.0250 | elapsed  714.4s
step   220000 | reward(last100)  0.5252 | sigma 0.0250 | elapsed  733.4s
step   225000 | reward(last100)  0.6463 | sigma 0.0250 | elapsed  751.9s
step   230000 | reward(last100)  0.6204 | sigma 0.0250 | elapsed  770.5s
step   235000 | reward(last100)  0.3745 | sigma 0.0250 | elapsed  786.5s
step   240000 | reward(last100)  0.4659 | sigma 0.0250 | elapsed  807.3s
step   245000 | reward(last100)  0.5251 | sigma 0.0250 | elapsed  828.5s
step   250000 | reward(last100)  0.5879 | sigma 0.0250 | elapsed  847.6s
step   255000 | reward(last100)  0.6162 | sigma 0.0249 | elapsed  866.9s
step   260000 | reward(last100)  0.5568 | sigma 0.0249 | elapsed  886.2s
step   265000 | reward(last100)  0.4829 | sigma 0.0249 | elapsed  905.7s
step   270000 | reward(last100)  0.5191 | sigma 0.0249 | elapsed  925.5s
step   275000 | reward(last100)  0.4344 | sigma 0.0249 | elapsed  945.2s
step   280000 | reward(last100)  0.4338 | sigma 0.0249 | elapsed  965.0s
step   285000 | reward(last100)  0.4412 | sigma 0.0249 | elapsed  984.2s
step   290000 | reward(last100)  0.4086 | sigma 0.0249 | elapsed 1001.1s
step   295000 | reward(last100)  0.4836 | sigma 0.0249 | elapsed 1018.6s
step   300000 | reward(last100)  0.3962 | sigma 0.0249 | elapsed 1037.6s
step   305000 | reward(last100)  0.3652 | sigma 0.0249 | elapsed 1054.3s
step   310000 | reward(last100)  0.5797 | sigma 0.0249 | elapsed 1069.6s
step   315000 | reward(last100)  0.4879 | sigma 0.0249 | elapsed 1083.9s
step   320000 | reward(last100)  0.2981 | sigma 0.0249 | elapsed 1098.8s
step   325000 | reward(last100)  0.3406 | sigma 0.0249 | elapsed 1119.0s
step   330000 | reward(last100)  0.4497 | sigma 0.0249 | elapsed 1138.9s
step   335000 | reward(last100)  0.4190 | sigma 0.0249 | elapsed 1158.0s
step   340000 | reward(last100)  0.5738 | sigma 0.0249 | elapsed 1173.8s
step   345000 | reward(last100)  0.3771 | sigma 0.0249 | elapsed 1190.4s
step   350000 | reward(last100)  0.4621 | sigma 0.0249 | elapsed 1209.9s
step   355000 | reward(last100)  0.5195 | sigma 0.0249 | elapsed 1230.1s
step   360000 | reward(last100)  0.4467 | sigma 0.0249 | elapsed 1249.3s
step   365000 | reward(last100)  0.5449 | sigma 0.0249 | elapsed 1271.1s
step   370000 | reward(last100)  0.4147 | sigma 0.0249 | elapsed 1291.7s
step   375000 | reward(last100)  0.4782 | sigma 0.0249 | elapsed 1311.0s
step   380000 | reward(last100)  0.4917 | sigma 0.0249 | elapsed 1332.1s
step   385000 | reward(last100)  0.4466 | sigma 0.0249 | elapsed 1352.2s
step   390000 | reward(last100)  0.4544 | sigma 0.0249 | elapsed 1371.2s
step   395000 | reward(last100)  0.4586 | sigma 0.0249 | elapsed 1392.9s
step   400000 | reward(last100)  0.4860 | sigma 0.0249 | elapsed 1411.4s
step   405000 | reward(last100)  0.5075 | sigma 0.0249 | elapsed 1428.8s
