step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    4.0s
step    10000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    7.9s
step    15000 | reward(last100)  0.0000 | sigma 0.0301 | elapsed   23.2s
step    20000 | reward(last100)  0.0456 | sigma 0.0289 | elapsed   39.5s
step    25000 | reward(last100)  0.1888 | sigma 0.0278 | elapsed   55.7s
step    30000 | reward(last100)  0.2680 | sigma 0.0269 | elapsed   72.7s
step    35000 | reward(last100)  0.4112 | sigma 0.0261 | elapsed   86.0s
step    40000 | reward(last100)  0.9139 | sigma 0.0256 | elapsed  105.4s
step    45000 | reward(last100)  0.8930 | sigma 0.0252 | elapsed  127.2s
step    50000 | reward(last100)  0.7224 | sigma 0.0248 | elapsed  146.7s
step    55000 | reward(last100)  0.5406 | sigma 0.0245 | elapsed  166.8s
step    60000 | reward(last100)  0.3734 | sigma 0.0243 | elapsed  182.6s
step    65000 | reward(last100)  0.2172 | sigma 0.0242 | elapsed  198.9s
step    70000 | reward(last100)  0.0623 | sigma 0.0240 | elapsed  218.7s
step    75000 | reward(last100)  0.0127 | sigma 0.0239 | elapsed  236.3s
step    80000 | reward(last100)  0.1675 | sigma 0.0238 | elapsed  250.1s
step    85000 | reward(last100)  0.2786 | sigma 0.0238 | elapsed  263.8s
step    90000 | reward(last100)  0.4374 | sigma 0.0237 | elapsed  277.8s
step    95000 | reward(last100)  0.4639 | sigma 0.0237 | elapsed  293.7s
step   100000 | reward(last100)  0.5813 | sigma 0.0237 | elapsed  313.2s
step   105000 | reward(last100)  0.6722 | sigma 0.0237 | elapsed  332.7s
step   110000 | reward(last100)  0.6107 | sigma 0.0236 | elapsed  352.3s
step   115000 | reward(last100)  0.5195 | sigma 0.0236 | elapsed  370.5s
step   120000 | reward(last100)  0.5072 | sigma 0.0236 | elapsed  386.3s
step   125000 | reward(last100)  0.5570 | sigma 0.0236 | elapsed  401.6s
step   130000 | reward(last100)  0.6193 | sigma 0.0235 | elapsed  420.1s
step   135000 | reward(last100)  0.5517 | sigma 0.0235 | elapsed  441.3s
step   140000 | reward(last100)  0.5937 | sigma 0.0235 | elapsed  460.9s
step   145000 | reward(last100)  0.5746 | sigma 0.0235 | elapsed  480.7s
step   150000 | reward(last100)  0.4759 | sigma 0.0235 | elapsed  499.7s
step   155000 | reward(last100)  0.3617 | sigma 0.0235 | elapsed  513.1s
step   160000 | reward(last100)  0.3085 | sigma 0.0235 | elapsed  527.6s
step   165000 | reward(last100)  0.5259 | sigma 0.0235 | elapsed  542.5s
step   170000 | reward(last100)  0.6677 | sigma 0.0235 | elapsed  560.9s
step   175000 | reward(last100)  0.7586 | sigma 0.0235 | elapsed  576.9s
step   180000 | reward(last100)  0.7094 | sigma 0.0235 | elapsed  592.1s
step   185000 | reward(last100)  0.5813 | sigma 0.0235 | elapsed  610.2s
step   190000 | reward(last100)  0.4953 | sigma 0.0235 | elapsed  629.0s
step   195000 | reward(last100)  0.6268 | sigma 0.0235 | elapsed  647.3s
step   200000 | reward(last100)  0.6743 | sigma 0.0235 | elapsed  665.9s
step   205000 | reward(last100)  0.5610 | sigma 0.0235 | elapsed  680.4s
step   210000 | reward(last100)  0.4272 | sigma 0.0235 | elapsed  700.9s
step   215000 | reward(last100)  0.9299 | sigma 0.0235 | elapsed  720.4s
step   220000 | reward(last100)  0.9341 | sigma 0.0235 | elapsed  738.0s
step   225000 | reward(last100)  0.9415 | sigma 0.0235 | elapsed  756.3s
step   230000 | reward(last100)  0.8337 | sigma 0.0234 | elapsed  775.2s
step   235000 | reward(last100)  0.9196 | sigma 0.0234 | elapsed  795.6s
step   240000 | reward(last100)  0.9378 | sigma 0.0234 | elapsed  813.5s
step   245000 | reward(last100)  0.9390 | sigma 0.0234 | elapsed  830.4s
step   250000 | reward(last100)  0.9493 | sigma 0.0234 | elapsed  849.1s
