step     5000 | reward(last100)  0.0255 | sigma 0.0309 | elapsed    4.1s
step    10000 | reward(last100)  0.0128 | sigma 0.0309 | elapsed    8.2s
step    15000 | reward(last100)  0.0228 | sigma 0.0295 | elapsed   29.4s
step    20000 | reward(last100)  0.0265 | sigma 0.0278 | elapsed   51.0s
step    25000 | reward(last100)  0.0212 | sigma 0.0266 | elapsed   72.6s
step    30000 | reward(last100)  0.0177 | sigma 0.0260 | elapsed   94.3s
step    35000 | reward(last100)  0.0152 | sigma 0.0257 | elapsed  112.7s
step    40000 | reward(last100)  0.0113 | sigma 0.0255 | elapsed  133.4s
step    45000 | reward(last100)  0.0113 | sigma 0.0254 | elapsed  154.1s
step    50000 | reward(last100)  0.0053 | sigma 0.0253 | elapsed  173.3s
step    55000 | reward(last100)  0.0000 | sigma 0.0252 | elapsed  193.5s
step    60000 | reward(last100)  0.0000 | sigma 0.0252 | elapsed  212.2s
step    65000 | reward(last100)  0.0000 | sigma 0.0251 | elapsed  230.0s
step    70000 | reward(last100)  0.0000 | sigma 0.0251 | elapsed  251.8s
step    75000 | reward(last100)  0.0000 | sigma 0.0250 | elapsed  274.0s
step    80000 | reward(last100)  0.0037 | sigma 0.0250 | elapsed  296.5s
step    85000 | reward(last100)  0.0037 | sigma 0.0249 | elapsed  316.8s
step    90000 | reward(last100)  0.0090 | sigma 0.0249 | elapsed  336.5s
step    95000 | reward(last100)  0.0103 | sigma 0.0249 | elapsed  356.2s
step   100000 | reward(last100)  0.0103 | sigma 0.0248 | elapsed  374.4s
step   105000 | reward(last100)  0.0103 | sigma 0.0248 | elapsed  396.7s
step   110000 | reward(last100)  0.0103 | sigma 0.0248 | elapsed  416.8s
step   115000 | reward(last100)  0.0066 | sigma 0.0247 | elapsed  435.3s
step   120000 | reward(last100)  0.0066 | sigma 0.0247 | elapsed  455.7s
step   125000 | reward(last100)  0.0013 | sigma 0.0247 | elapsed  476.8s
step   130000 | reward(last100)  0.0000 | sigma 0.0247 | elapsed  498.5s
step   135000 | reward(last100)  0.0000 | sigma 0.0247 | elapsed  519.8s
step   140000 | reward(last100)  0.0000 | sigma 0.0247 | elapsed  542.0s
step   145000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed  563.6s
step   150000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed  580.5s
step   155000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed  602.8s
step   160000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed  624.0s
step   165000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed  646.8s
step   170000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed  669.8s
step   175000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed  690.4s
step   180000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed  712.7s
step   185000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed  738.1s
step   190000 | reward(last100)  0.0000 | sigma 0.0245 | elapsed  762.7s
step   195000 | reward(last100)  0.0000 | sigma 0.0245 | elapsed  785.2s
step   200000 | reward(last100)  0.0092 | sigma 0.0245 | elapsed  807.2s
step   205000 | reward(last100)  0.0270 | sigma 0.0245 | elapsed  824.6s
step   210000 | reward(last100)  0.0654 | sigma 0.0245 | elapsed  840.9s
step   215000 | reward(last100)  0.0654 | sigma 0.0243 | elapsed  861.2s
step   220000 | reward(last100)  0.0654 | sigma 0.0242 | elapsed  883.9s
step   225000 | reward(last100)  0.0654 | sigma 0.0240 | elapsed  901.8s
step   230000 | reward(last100)  0.0654 | sigma 0.0237 | elapsed  923.9s
step   235000 | reward(last100)  0.0562 | sigma 0.0235 | elapsed  945.7s
