step     5000 | reward(last100)  0.0268 | sigma 0.0309 | elapsed    4.2s
step    10000 | reward(last100)  0.0206 | sigma 0.0309 | elapsed    8.3s
step    15000 | reward(last100)  0.0881 | sigma 0.0296 | elapsed   25.5s
step    20000 | reward(last100)  0.1120 | sigma 0.0280 | elapsed   46.8s
step    25000 | reward(last100)  0.1154 | sigma 0.0269 | elapsed   69.0s
step    30000 | reward(last100)  0.1791 | sigma 0.0263 | elapsed   89.4s
step    35000 | reward(last100)  0.2198 | sigma 0.0260 | elapsed  107.2s
step    40000 | reward(last100)  0.9526 | sigma 0.0258 | elapsed  124.2s
step    45000 | reward(last100)  0.8613 | sigma 0.0254 | elapsed  145.2s
step    50000 | reward(last100)  0.6772 | sigma 0.0251 | elapsed  162.7s
step    55000 | reward(last100)  0.4991 | sigma 0.0249 | elapsed  181.2s
step    60000 | reward(last100)  0.3163 | sigma 0.0248 | elapsed  199.3s
step    65000 | reward(last100)  0.1590 | sigma 0.0248 | elapsed  219.7s
step    70000 | reward(last100)  0.0206 | sigma 0.0247 | elapsed  242.1s
step    75000 | reward(last100)  0.0245 | sigma 0.0246 | elapsed  260.8s
step    80000 | reward(last100)  0.0850 | sigma 0.0245 | elapsed  282.8s
step    85000 | reward(last100)  0.1149 | sigma 0.0245 | elapsed  304.2s
step    90000 | reward(last100)  0.1483 | sigma 0.0244 | elapsed  325.0s
step    95000 | reward(last100)  0.3701 | sigma 0.0244 | elapsed  346.2s
step   100000 | reward(last100)  0.5182 | sigma 0.0243 | elapsed  365.0s
step   105000 | reward(last100)  0.5576 | sigma 0.0243 | elapsed  382.5s
step   110000 | reward(last100)  0.7218 | sigma 0.0243 | elapsed  399.7s
step   115000 | reward(last100)  0.8453 | sigma 0.0243 | elapsed  418.5s
step   120000 | reward(last100)  0.9258 | sigma 0.0242 | elapsed  439.5s
step   125000 | reward(last100)  0.9484 | sigma 0.0242 | elapsed  459.6s
step   130000 | reward(last100)  0.9520 | sigma 0.0242 | elapsed  480.4s
step   135000 | reward(last100)  0.9413 | sigma 0.0241 | elapsed  501.3s
step   140000 | reward(last100)  0.9522 | sigma 0.0241 | elapsed  522.6s
step   145000 | reward(last100)  0.9520 | sigma 0.0241 | elapsed  540.8s
step   150000 | reward(last100)  0.9475 | sigma 0.0241 | elapsed  560.3s
step   155000 | reward(last100)  0.9499 | sigma 0.0241 | elapsed  581.8s
step   160000 | reward(last100)  0.9465 | sigma 0.0241 | elapsed  603.0s
