step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    4.0s
step    10000 | reward(last100)  0.0033 | sigma 0.0309 | elapsed    8.0s
step    15000 | reward(last100)  0.0744 | sigma 0.0300 | elapsed   23.7s
step    20000 | reward(last100)  0.0829 | sigma 0.0287 | elapsed   44.8s
step    25000 | reward(last100)  0.0732 | sigma 0.0274 | elapsed   67.3s
step    30000 | reward(last100)  0.0751 | sigma 0.0267 | elapsed   88.3s
step    35000 | reward(last100)  0.0902 | sigma 0.0265 | elapsed  107.9s
step    40000 | reward(last100)  0.0560 | sigma 0.0264 | elapsed  124.1s
step    45000 | reward(last100)  0.0725 | sigma 0.0263 | elapsed  144.5s
step    50000 | reward(last100)  0.1737 | sigma 0.0262 | elapsed  164.9s
step    55000 | reward(last100)  0.3009 | sigma 0.0262 | elapsed  182.5s
step    60000 | reward(last100)  0.7018 | sigma 0.0261 | elapsed  202.7s
step    65000 | reward(last100)  0.9464 | sigma 0.0260 | elapsed  221.2s
step    70000 | reward(last100)  0.8028 | sigma 0.0259 | elapsed  236.6s
step    75000 | reward(last100)  0.6120 | sigma 0.0256 | elapsed  254.9s
step    80000 | reward(last100)  0.4319 | sigma 0.0255 | elapsed  270.7s
step    85000 | reward(last100)  0.2435 | sigma 0.0254 | elapsed  286.2s
step    90000 | reward(last100)  0.0663 | sigma 0.0254 | elapsed  301.6s
step    95000 | reward(last100)  0.0664 | sigma 0.0253 | elapsed  317.4s
step   100000 | reward(last100)  0.1038 | sigma 0.0253 | elapsed  332.2s
step   105000 | reward(last100)  0.2226 | sigma 0.0253 | elapsed  350.8s
step   110000 | reward(last100)  0.3391 | sigma 0.0252 | elapsed  370.7s
step   115000 | reward(last100)  0.3465 | sigma 0.0252 | elapsed  389.7s
step   120000 | reward(last100)  0.6696 | sigma 0.0252 | elapsed  408.5s
step   125000 | reward(last100)  0.8303 | sigma 0.0251 | elapsed  424.9s
step   130000 | reward(last100)  0.9002 | sigma 0.0251 | elapsed  440.7s
step   135000 | reward(last100)  0.9133 | sigma 0.0251 | elapsed  456.2s
step   140000 | reward(last100)  0.9429 | sigma 0.0251 | elapsed  476.1s
step   145000 | reward(last100)  0.9474 | sigma 0.0250 | elapsed  494.2s
step   150000 | reward(last100)  0.9415 | sigma 0.0250 | elapsed  511.7s
step   155000 | reward(last100)  0.9430 | sigma 0.0250 | elapsed  527.3s
step   160000 | reward(last100)  0.9481 | sigma 0.0250 | elapsed  541.7s
step   165000 | reward(last100)  0.9506 | sigma 0.0250 | elapsed  555.0s
step   170000 | reward(last100)  0.9513 | sigma 0.0250 | elapsed  570.0s
step   175000 | reward(last100)  0.9467 | sigma 0.0249 | elapsed  583.7s
step   180000 | reward(last100)  0.9543 | sigma 0.0249 | elapsed  601.4s
step   185000 | reward(last100)  0.9554 | sigma 0.0249 | elapsed  619.4s
step   190000 | reward(last100)  0.9260 | sigma 0.0249 | elapsed  637.0s
step   195000 | reward(last100)  0.9412 | sigma 0.0249 | elapsed  654.5s
step   200000 | reward(last100)  0.9482 | sigma 0.0249 | elapsed  672.5s
step   205000 | reward(last100)  0.9473 | sigma 0.0249 | elapsed  688.0s
step   210000 | reward(last100)  0.9507 | sigma 0.0249 | elapsed  702.7s
step   215000 | reward(last100)  0.9556 | sigma 0.0249 | elapsed  720.8s
step   220000 | reward(last100)  0.9558 | sigma 0.0249 | elapsed  739.2s
step   225000 | reward(last100)  0.9569 | sigma 0.0249 | elapsed  758.3s
step   230000 | reward(last100)  0.9549 | sigma 0.0249 | elapsed  776.6s
step   235000 | reward(last100)  0.9572 | sigma 0.0249 | elapsed  795.1s
step   240000 | reward(last100)  0.9566 | sigma 0.0249 | elapsed  810.4s
step   245000 | reward(last100)  0.9556 | sigma 0.0249 | elapsed  825.5s
step   250000 | reward(last100)  0.9564 | sigma 0.0249 | elapsed  841.1s
step   255000 | reward(last100)  0.9541 | sigma 0.0249 | elapsed  861.1s
step   260000 | reward(last100)  0.9550 | sigma 0.0249 | elapsed  878.8s
step   265000 | reward(last100)  0.9566 | sigma 0.0249 | elapsed  896.7s
step   270000 | reward(last100)  0.9574 | sigma 0.0249 | elapsed  912.9s
step   275000 | reward(last100)  0.9557 | sigma 0.0249 | elapsed  926.3s
step   280000 | reward(last100)  0.9525 | sigma 0.0249 | elapsed  942.4s
step   285000 | reward(last100)  0.9560 | sigma 0.0249 | elapsed  963.4s
step   290000 | reward(last100)  0.9567 | sigma 0.0249 | elapsed  983.9s
