step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    3.6s
step   410000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed 1125.4s
step   415000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed 1141.1s
step   420000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed 1156.9s
step   425000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed 1172.7s
step   430000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed 1188.4s
step   435000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed 1204.1s
step   440000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed 1219.8s
step   445000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed 1235.6s
step   450000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed 1251.3s
step   455000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed 1267.2s
step   460000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed 1283.0s
step   465000 | reward(last100)  0.0043 | sigma 0.0247 | elapsed 1298.7s
step   470000 | reward(last100)  0.0043 | sigma 0.0244 | elapsed 1314.2s
step   475000 | reward(last100)  0.0043 | sigma 0.0241 | elapsed 1329.3s
step   480000 | reward(last100)  0.0043 | sigma 0.0239 | elapsed 1344.3s
step   485000 | reward(last100)  0.0043 | sigma 0.0236 | elapsed 1360.6s
step   490000 | reward(last100)  0.0043 | sigma 0.0235 | elapsed 1376.9s
step   495000 | reward(last100)  0.0043 | sigma 0.0233 | elapsed 1391.9s
step   500000 | reward(last100)  0.0000 | sigma 0.0231 | elapsed 1406.8s
step   505000 | reward(last100)  0.0000 | sigma 0.0230 | elapsed 1421.9s
step   510000 | reward(last100)  0.0000 | sigma 0.0229 | elapsed 1436.8s
step   515000 | reward(last100)  0.0000 | sigma 0.0228 | elapsed 1451.7s
step   520000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed 1466.7s
step   525000 | reward(last100)  0.0000 | sigma 0.0226 | elapsed 1481.6s
step   530000 | reward(last100)  0.0000 | sigma 0.0225 | elapsed 1496.7s
step   535000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1511.7s
step   540000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1526.7s
step   545000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1541.8s
step   550000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1556.9s
step   555000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1575.0s
step   560000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1592.1s
step   565000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1609.0s
step   570000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1624.4s
step   575000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1639.7s
step   580000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1655.0s
step   585000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1670.5s
step   590000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1685.9s
step   595000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1701.4s
step   600000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1716.9s
step   605000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1732.7s
step   610000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1748.2s
step   615000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1763.8s
step   620000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1779.4s
step   625000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1794.9s
step   630000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1810.5s
step   635000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1826.1s
step   640000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1841.8s
step   645000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1857.5s
step   650000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1873.2s
step   655000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1890.8s
step   660000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1909.9s
step   665000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1930.6s
step   670000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1947.9s
step   675000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1965.3s
step   680000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1982.6s
step   685000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 1999.9s
step   690000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2017.2s
step   695000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2034.7s
step   700000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2053.0s
step   705000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2069.5s
step   710000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2085.9s
step   715000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2102.2s
step   720000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2118.5s
step   725000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2134.9s
step   730000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2151.3s
step   735000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2167.8s
step   740000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2184.3s
step   745000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2200.9s
step   750000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2217.4s
step   755000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2240.3s
step   760000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2264.5s
step   765000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2288.7s
step   770000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2312.2s
step   775000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2335.4s
step   780000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2358.5s
step   785000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2381.5s
step   790000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2404.5s
step   795000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2427.3s
step   800000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2450.1s
step   805000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2469.6s
step   810000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2487.5s
step   815000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2505.1s
step   820000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2522.9s
step   825000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2540.4s
step   830000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2557.8s
step   835000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2575.3s
step   840000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2592.6s
step   845000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2610.0s
step   850000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2627.4s
step   855000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2644.0s
step   860000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2660.2s
step   865000 | reward(last100)  0.0173 | sigma 0.0220 | elapsed 2676.4s
step   870000 | reward(last100)  0.0173 | sigma 0.0221 | elapsed 2692.4s
step   875000 | reward(last100)  0.0173 | sigma 0.0220 | elapsed 2708.3s
step   880000 | reward(last100)  0.0173 | sigma 0.0219 | elapsed 2724.3s
step   885000 | reward(last100)  0.0173 | sigma 0.0219 | elapsed 2740.1s
step   890000 | reward(last100)  0.0173 | sigma 0.0219 | elapsed 2755.9s
step   895000 | reward(last100)  0.0173 | sigma 0.0219 | elapsed 2771.8s
step   900000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 2787.7s
step   905000 | reward(last100)  0.0000 | sigma 0.0218 | elapsed 2803.9s
step   910000 | reward(last100)  0.0000 | sigma 0.0217 | elapsed 2819.7s
step   915000 | reward(last100)  0.0000 | sigma 0.0217 | elapsed 2835.6s
step   920000 | reward(last100)  0.0000 | sigma 0.0216 | elapsed 2851.5s
step   925000 | reward(last100)  0.0000 | sigma 0.0216 | elapsed 2867.4s
step   930000 | reward(last100)  0.0000 | sigma 0.0216 | elapsed 2883.8s
step   935000 | reward(last100)  0.0000 | sigma 0.0216 | elapsed 2901.1s
step   940000 | reward(last100)  0.0000 | sigma 0.0216 | elapsed 2918.4s
step   945000 | reward(last100)  0.0000 | sigma 0.0216 | elapsed 2935.7s
step   950000 | reward(last100)  0.0000 | sigma 0.0216 | elapsed 2953.6s
step   955000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 2970.2s
step   960000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 2986.5s
step   965000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3002.9s
step   970000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3019.2s
step   975000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3035.5s
step   980000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3051.9s
step   985000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3068.3s
step   990000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3084.8s
step   995000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3101.2s
step  1000000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3117.5s
step  1005000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3134.2s
step  1010000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3150.7s
step  1015000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3169.2s
step  1020000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3187.6s
step  1025000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3206.0s
step  1030000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3224.6s
step  1035000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3243.2s
step  1040000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3261.7s
step  1045000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3280.3s
step  1050000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3301.7s
step  1055000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3320.9s
step  1060000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3339.8s
step  1065000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3358.7s
step  1070000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3377.8s
step  1075000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3396.1s
step  1080000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3414.4s
step  1085000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3432.8s
step  1090000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3451.4s
step  1095000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3469.0s
step  1100000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3487.6s
step  1105000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3505.2s
step  1110000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3522.5s
step  1115000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3539.8s
step  1120000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3557.1s
step  1125000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3574.4s
step  1130000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3591.7s
step  1135000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3609.0s
step  1140000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3626.2s
step  1145000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3643.5s
step  1150000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3660.7s
step  1155000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3678.3s
step  1160000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3695.5s
step  1165000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3712.8s
step  1170000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3730.0s
step  1175000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3747.2s
step  1180000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3764.3s
step  1185000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3781.5s
step  1190000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3798.6s
step  1195000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3815.7s
step  1200000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3832.8s
step  1205000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3856.4s
step  1210000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3877.6s
step  1215000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3896.5s
step  1220000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3915.6s
step  1225000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3934.5s
step  1230000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3953.3s
step  1235000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3972.3s
step  1240000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 3991.1s
step  1245000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 4012.3s
step  1250000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 4034.3s
step  1255000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4051.6s
step  1260000 | reward(last100)  0.0000 | sigma 0.0215 | elapsed 4068.5s
step  1265000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4085.3s
step  1270000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4102.1s
step  1275000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4119.0s
step  1280000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4135.8s
step  1285000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4152.5s
step  1290000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4169.2s
step  1295000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4185.9s
step  1300000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4202.6s
step  1305000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4219.8s
step  1310000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4236.5s
step  1315000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4253.3s
step  1320000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4270.0s
step  1325000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4286.8s
step  1330000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4303.6s
step  1335000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4320.3s
step  1340000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4337.1s
step  1345000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4354.5s
step  1350000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4372.6s
step  1355000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4391.0s
step  1360000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4409.0s
step  1365000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4426.9s
step  1370000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4444.9s
step  1375000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4462.9s
step  1380000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4480.9s
step  1385000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4498.9s
step  1390000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4516.9s
step  1395000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4533.8s
step  1400000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4550.5s
step  1405000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4567.4s
step  1410000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4584.1s
step  1415000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4600.7s
step  1420000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4617.3s
step  1425000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4633.9s
step  1430000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4650.5s
step  1435000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4667.2s
step  1440000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4683.8s
step  1445000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 4700.4s
step  1450000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4718.1s
step  1455000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 4735.3s
step  1460000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 4752.0s
step  1465000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 4768.8s
step  1470000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 4785.6s
step  1475000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 4802.4s
step  1480000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 4819.2s
step  1485000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 4836.0s
step  1490000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 4852.7s
step  1495000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 4869.5s
step  1500000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 4886.3s
step  1505000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 4903.4s
step  1510000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 4920.2s
step  1515000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 4937.0s
step  1520000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 4953.7s
step  1525000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 4970.4s
step  1530000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 4987.2s
step  1535000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5004.0s
step  1540000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5020.8s
step  1545000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5037.6s
step  1550000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5054.5s
step  1555000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5071.6s
step  1560000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5088.5s
step  1565000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5105.4s
step  1570000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5122.3s
step  1575000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5139.2s
step  1580000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5156.1s
step  1585000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5173.1s
step  1590000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5190.1s
step  1595000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5207.1s
step  1600000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5224.1s
step  1605000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5241.5s
step  1610000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5258.5s
step  1615000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5275.6s
step  1620000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5292.6s
step  1625000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5309.7s
step  1630000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5326.8s
step  1635000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5344.0s
step  1640000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5361.2s
step  1645000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5378.3s
step  1650000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5395.5s
step  1655000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5414.7s
step  1660000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5433.7s
step  1665000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5452.7s
step  1670000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5471.5s
step  1675000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5489.0s
step  1680000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5506.4s
step  1685000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5523.8s
step  1690000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5541.2s
step  1695000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5558.6s
step  1700000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5576.1s
step  1705000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5593.9s
step  1710000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5611.3s
step  1715000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5628.8s
step  1720000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5646.3s
step  1725000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5663.7s
step  1730000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5681.2s
step  1735000 | reward(last100)  0.0000 | sigma 0.0213 | elapsed 5698.7s
