==> installing Atari ROMs (idempotent)
AutoROM will download the Atari 2600 ROMs.
They will be installed to:
	/home/vestjejj/NoisyNetworks/.venv/lib/python3.11/site-packages/AutoROM/roms

Existing ROMs will be overwritten.
==> skipping asterix_base_noisy (already done)
==> skipping asterix_base_baseline (already done)
==> skipping asterix_ddqn_noisy (already done)
==> skipping asterix_ddqn_baseline (already done)
==> skipping asterix_per_noisy (already done)

==========================================
==> starting: asterix_per_baseline
==========================================
A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
step   800000 | reward(last100)   11.60 | eps 0.010 | elapsed 2790.0s
step   810000 | reward(last100)   11.66 | eps 0.010 | elapsed 2829.4s
step   820000 | reward(last100)   12.62 | eps 0.010 | elapsed 2869.7s
step   830000 | reward(last100)   12.67 | eps 0.010 | elapsed 2910.8s
step   840000 | reward(last100)   12.38 | eps 0.010 | elapsed 2951.2s
step   850000 | reward(last100)   11.80 | eps 0.010 | elapsed 2991.4s
step   860000 | reward(last100)   12.47 | eps 0.010 | elapsed 3031.7s
step   870000 | reward(last100)   12.74 | eps 0.010 | elapsed 3072.1s
step   880000 | reward(last100)   13.52 | eps 0.010 | elapsed 3112.3s
step   890000 | reward(last100)   13.40 | eps 0.010 | elapsed 3152.4s
step   900000 | reward(last100)   13.54 | eps 0.010 | elapsed 3194.6s
step   910000 | reward(last100)   12.38 | eps 0.010 | elapsed 3238.0s
step   920000 | reward(last100)   13.69 | eps 0.010 | elapsed 3285.0s
step   930000 | reward(last100)   14.18 | eps 0.010 | elapsed 3334.7s
step   940000 | reward(last100)   14.99 | eps 0.010 | elapsed 3384.4s
step   950000 | reward(last100)   14.60 | eps 0.010 | elapsed 3434.4s
step   960000 | reward(last100)   14.51 | eps 0.010 | elapsed 3485.6s
step   970000 | reward(last100)   13.61 | eps 0.010 | elapsed 3538.5s
step   980000 | reward(last100)   13.34 | eps 0.010 | elapsed 3589.8s
step   990000 | reward(last100)   14.41 | eps 0.010 | elapsed 3640.8s
step  1000000 | reward(last100)   14.52 | eps 0.010 | elapsed 3694.5s
step  1010000 | reward(last100)   14.92 | eps 0.010 | elapsed 3746.3s
step  1020000 | reward(last100)   14.61 | eps 0.010 | elapsed 3798.9s
step  1030000 | reward(last100)   14.70 | eps 0.010 | elapsed 3851.2s
step  1040000 | reward(last100)   14.64 | eps 0.010 | elapsed 3903.4s
step  1050000 | reward(last100)   14.50 | eps 0.010 | elapsed 3958.7s
step  1060000 | reward(last100)   15.66 | eps 0.010 | elapsed 4009.4s
step  1070000 | reward(last100)   15.82 | eps 0.010 | elapsed 4060.6s
step  1080000 | reward(last100)   15.64 | eps 0.010 | elapsed 4111.3s
step  1090000 | reward(last100)   15.12 | eps 0.010 | elapsed 4163.5s
step  1100000 | reward(last100)   13.74 | eps 0.010 | elapsed 4214.3s
step  1110000 | reward(last100)   13.82 | eps 0.010 | elapsed 4266.1s
step  1120000 | reward(last100)   15.02 | eps 0.010 | elapsed 4318.3s
step  1130000 | reward(last100)   15.74 | eps 0.010 | elapsed 4366.8s
step  1140000 | reward(last100)   17.04 | eps 0.010 | elapsed 4416.9s
step  1150000 | reward(last100)   16.87 | eps 0.010 | elapsed 4464.8s
step  1160000 | reward(last100)   16.62 | eps 0.010 | elapsed 4512.8s
step  1170000 | reward(last100)   16.45 | eps 0.010 | elapsed 4560.2s
step  1180000 | reward(last100)   16.12 | eps 0.010 | elapsed 4607.7s
step  1190000 | reward(last100)   16.12 | eps 0.010 | elapsed 4656.3s
step  1200000 | reward(last100)   16.05 | eps 0.010 | elapsed 4704.2s
step  1210000 | reward(last100)   15.98 | eps 0.010 | elapsed 4752.4s
step  1220000 | reward(last100)   15.77 | eps 0.010 | elapsed 4800.8s
step  1230000 | reward(last100)   16.23 | eps 0.010 | elapsed 4849.1s
step  1240000 | reward(last100)   16.01 | eps 0.010 | elapsed 4898.1s
step  1250000 | reward(last100)   16.46 | eps 0.010 | elapsed 4946.5s
step  1260000 | reward(last100)   16.80 | eps 0.010 | elapsed 4994.6s
step  1270000 | reward(last100)   16.82 | eps 0.010 | elapsed 5045.3s
step  1280000 | reward(last100)   16.98 | eps 0.010 | elapsed 5096.2s
step  1290000 | reward(last100)   17.05 | eps 0.010 | elapsed 5147.4s
step  1300000 | reward(last100)   17.26 | eps 0.010 | elapsed 5198.0s
step  1310000 | reward(last100)   16.90 | eps 0.010 | elapsed 5249.0s
step  1320000 | reward(last100)   17.10 | eps 0.010 | elapsed 5301.9s
step  1330000 | reward(last100)   17.12 | eps 0.010 | elapsed 5352.5s
step  1340000 | reward(last100)   17.11 | eps 0.010 | elapsed 5404.8s
step  1350000 | reward(last100)   16.66 | eps 0.010 | elapsed 5453.5s
step  1360000 | reward(last100)   16.62 | eps 0.010 | elapsed 5503.6s
step  1370000 | reward(last100)   16.78 | eps 0.010 | elapsed 5554.2s
step  1380000 | reward(last100)   17.19 | eps 0.010 | elapsed 5605.0s
step  1390000 | reward(last100)   16.75 | eps 0.010 | elapsed 5655.4s
step  1400000 | reward(last100)   16.19 | eps 0.010 | elapsed 5705.6s
step  1410000 | reward(last100)   16.24 | eps 0.010 | elapsed 5756.7s
step  1420000 | reward(last100)   16.17 | eps 0.010 | elapsed 5806.2s
step  1430000 | reward(last100)   16.43 | eps 0.010 | elapsed 5857.2s
step  1440000 | reward(last100)   16.44 | eps 0.010 | elapsed 5906.8s
step  1450000 | reward(last100)   17.11 | eps 0.010 | elapsed 5955.8s
step  1460000 | reward(last100)   17.25 | eps 0.010 | elapsed 6005.8s
step  1470000 | reward(last100)   17.26 | eps 0.010 | elapsed 6056.5s
step  1480000 | reward(last100)   17.44 | eps 0.010 | elapsed 6106.4s
step  1490000 | reward(last100)   16.89 | eps 0.010 | elapsed 6160.1s
