==> installing Atari ROMs (idempotent)
AutoROM will download the Atari 2600 ROMs.
They will be installed to:
	/home/vestjejj/NoisyNetworks/.venv/lib/python3.11/site-packages/AutoROM/roms

Existing ROMs will be overwritten.
==> skipping asterix_base_noisy (already done)
==> skipping asterix_base_baseline (already done)
==> skipping asterix_ddqn_noisy (already done)
==> skipping asterix_ddqn_baseline (already done)

==========================================
==> starting: asterix_per_noisy
==========================================
A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
step    10000 | reward(last100)    1.79 | sigma 0.0155 | elapsed   23.3s
step   770000 | reward(last100)   12.43 | sigma 0.0097 | elapsed 3917.1s
step   780000 | reward(last100)   11.71 | sigma 0.0097 | elapsed 3981.5s
step   790000 | reward(last100)   11.02 | sigma 0.0096 | elapsed 4044.5s
step   800000 | reward(last100)   12.21 | sigma 0.0096 | elapsed 4108.5s
step   810000 | reward(last100)   12.38 | sigma 0.0096 | elapsed 4171.4s
step   820000 | reward(last100)   12.30 | sigma 0.0095 | elapsed 4232.8s
step   830000 | reward(last100)   13.16 | sigma 0.0095 | elapsed 4293.4s
step   840000 | reward(last100)   12.81 | sigma 0.0095 | elapsed 4354.0s
step   850000 | reward(last100)   13.20 | sigma 0.0095 | elapsed 4415.8s
step   860000 | reward(last100)   12.64 | sigma 0.0095 | elapsed 4475.8s
step   870000 | reward(last100)   13.46 | sigma 0.0094 | elapsed 4534.7s
step   880000 | reward(last100)   13.54 | sigma 0.0094 | elapsed 4593.8s
step   890000 | reward(last100)   14.12 | sigma 0.0094 | elapsed 4653.5s
step   900000 | reward(last100)   14.53 | sigma 0.0094 | elapsed 4711.8s
step   910000 | reward(last100)   14.94 | sigma 0.0093 | elapsed 4769.5s
step   920000 | reward(last100)   15.31 | sigma 0.0093 | elapsed 4829.5s
step   930000 | reward(last100)   15.62 | sigma 0.0093 | elapsed 4887.8s
step   940000 | reward(last100)   15.64 | sigma 0.0093 | elapsed 4949.2s
step   950000 | reward(last100)   15.96 | sigma 0.0093 | elapsed 5010.5s
step   960000 | reward(last100)   16.43 | sigma 0.0093 | elapsed 5070.2s
step   970000 | reward(last100)   16.75 | sigma 0.0093 | elapsed 5131.7s
step   980000 | reward(last100)   16.40 | sigma 0.0092 | elapsed 5195.2s
step   990000 | reward(last100)   14.96 | sigma 0.0092 | elapsed 5255.1s
step  1000000 | reward(last100)   15.48 | sigma 0.0092 | elapsed 5313.7s
step  1010000 | reward(last100)   14.98 | sigma 0.0092 | elapsed 5375.4s
step  1020000 | reward(last100)   15.67 | sigma 0.0092 | elapsed 5435.9s
step  1030000 | reward(last100)   15.57 | sigma 0.0091 | elapsed 5497.3s
step  1040000 | reward(last100)   15.97 | sigma 0.0091 | elapsed 5557.3s
step  1050000 | reward(last100)   15.88 | sigma 0.0091 | elapsed 5618.6s
step  1060000 | reward(last100)   15.72 | sigma 0.0091 | elapsed 5679.9s
step  1070000 | reward(last100)   15.23 | sigma 0.0091 | elapsed 5738.6s
step  1080000 | reward(last100)   15.53 | sigma 0.0091 | elapsed 5799.1s
step  1090000 | reward(last100)   15.72 | sigma 0.0091 | elapsed 5859.8s
step  1100000 | reward(last100)   16.58 | sigma 0.0091 | elapsed 5922.7s
step  1110000 | reward(last100)   16.78 | sigma 0.0091 | elapsed 5985.9s
step  1120000 | reward(last100)   16.60 | sigma 0.0091 | elapsed 6043.9s
step  1130000 | reward(last100)   16.32 | sigma 0.0091 | elapsed 6100.6s
step  1140000 | reward(last100)   16.07 | sigma 0.0090 | elapsed 6155.8s
step  1150000 | reward(last100)   16.17 | sigma 0.0091 | elapsed 6211.9s
step  1160000 | reward(last100)   16.48 | sigma 0.0090 | elapsed 6267.7s
step  1170000 | reward(last100)   16.85 | sigma 0.0090 | elapsed 6323.7s
step  1180000 | reward(last100)   16.81 | sigma 0.0090 | elapsed 6379.9s
step  1190000 | reward(last100)   17.09 | sigma 0.0090 | elapsed 6435.5s
step  1200000 | reward(last100)   16.74 | sigma 0.0090 | elapsed 6491.4s
step  1210000 | reward(last100)   16.36 | sigma 0.0090 | elapsed 6549.9s
step  1220000 | reward(last100)   16.43 | sigma 0.0090 | elapsed 6605.6s
step  1230000 | reward(last100)   16.19 | sigma 0.0090 | elapsed 6660.6s
step  1240000 | reward(last100)   16.59 | sigma 0.0090 | elapsed 6715.3s
step  1250000 | reward(last100)   16.65 | sigma 0.0090 | elapsed 6769.4s
step  1260000 | reward(last100)   17.02 | sigma 0.0090 | elapsed 6825.3s
step  1270000 | reward(last100)   16.88 | sigma 0.0090 | elapsed 6878.5s
step  1280000 | reward(last100)   16.94 | sigma 0.0089 | elapsed 6924.3s
step  1290000 | reward(last100)   17.02 | sigma 0.0089 | elapsed 6971.9s
step  1300000 | reward(last100)   17.05 | sigma 0.0089 | elapsed 7019.5s
step  1310000 | reward(last100)   16.67 | sigma 0.0089 | elapsed 7067.1s
step  1320000 | reward(last100)   16.77 | sigma 0.0089 | elapsed 7114.7s
step  1330000 | reward(last100)   16.79 | sigma 0.0089 | elapsed 7162.5s
step  1340000 | reward(last100)   17.16 | sigma 0.0089 | elapsed 7210.3s
step  1350000 | reward(last100)   17.30 | sigma 0.0089 | elapsed 7258.1s
step  1360000 | reward(last100)   16.81 | sigma 0.0089 | elapsed 7306.0s
step  1370000 | reward(last100)   16.78 | sigma 0.0089 | elapsed 7354.0s
step  1380000 | reward(last100)   16.57 | sigma 0.0089 | elapsed 7405.1s
step  1390000 | reward(last100)   16.59 | sigma 0.0089 | elapsed 7459.5s
step  1400000 | reward(last100)   16.66 | sigma 0.0089 | elapsed 7511.5s
step  1410000 | reward(last100)   16.79 | sigma 0.0089 | elapsed 7562.7s
step  1420000 | reward(last100)   16.79 | sigma 0.0089 | elapsed 7612.2s
step  1430000 | reward(last100)   15.96 | sigma 0.0088 | elapsed 7663.6s
step  1440000 | reward(last100)   15.82 | sigma 0.0088 | elapsed 7713.2s
step  1450000 | reward(last100)   16.39 | sigma 0.0088 | elapsed 7763.9s
step  1460000 | reward(last100)   16.36 | sigma 0.0088 | elapsed 7813.1s
step  1470000 | reward(last100)   16.74 | sigma 0.0088 | elapsed 7862.8s
step  1480000 | reward(last100)   16.28 | sigma 0.0088 | elapsed 7913.1s
step  1490000 | reward(last100)   16.67 | sigma 0.0088 | elapsed 7968.3s
step  1500000 | reward(last100)   16.88 | sigma 0.0089 | elapsed 8017.8s
step  1510000 | reward(last100)   16.72 | sigma 0.0088 | elapsed 8068.8s
step  1520000 | reward(last100)   16.78 | sigma 0.0089 | elapsed 8119.8s
step  1530000 | reward(last100)   17.02 | sigma 0.0088 | elapsed 8171.0s
step  1540000 | reward(last100)   16.73 | sigma 0.0088 | elapsed 8221.6s
step  1550000 | reward(last100)   17.29 | sigma 0.0088 | elapsed 8272.7s
step  1560000 | reward(last100)   17.28 | sigma 0.0088 | elapsed 8324.3s
step  1570000 | reward(last100)   17.76 | sigma 0.0088 | elapsed 8376.7s
step  1580000 | reward(last100)   17.12 | sigma 0.0088 | elapsed 8427.6s
step  1590000 | reward(last100)   17.60 | sigma 0.0088 | elapsed 8479.1s
step  1600000 | reward(last100)   17.66 | sigma 0.0088 | elapsed 8536.9s
step  1610000 | reward(last100)   18.09 | sigma 0.0088 | elapsed 8591.4s
step  1620000 | reward(last100)   17.61 | sigma 0.0088 | elapsed 8644.3s
step  1630000 | reward(last100)   17.23 | sigma 0.0088 | elapsed 8695.0s
step  1640000 | reward(last100)   17.02 | sigma 0.0088 | elapsed 8747.7s
step  1650000 | reward(last100)   17.58 | sigma 0.0088 | elapsed 8801.0s
step  1660000 | reward(last100)   17.12 | sigma 0.0088 | elapsed 8850.8s
step  1670000 | reward(last100)   17.46 | sigma 0.0088 | elapsed 8901.0s
step  1680000 | reward(last100)   16.42 | sigma 0.0088 | elapsed 8949.9s
step  1690000 | reward(last100)   16.01 | sigma 0.0088 | elapsed 8998.0s
step  1700000 | reward(last100)   16.33 | sigma 0.0088 | elapsed 9044.6s
step  1710000 | reward(last100)   16.20 | sigma 0.0088 | elapsed 9091.3s
step  1720000 | reward(last100)   17.31 | sigma 0.0088 | elapsed 9138.1s
step  1730000 | reward(last100)   17.73 | sigma 0.0088 | elapsed 9188.5s
step  1740000 | reward(last100)   18.10 | sigma 0.0088 | elapsed 9238.7s
step  1750000 | reward(last100)   17.71 | sigma 0.0088 | elapsed 9288.6s
step  1760000 | reward(last100)   17.21 | sigma 0.0088 | elapsed 9340.3s
step  1770000 | reward(last100)   17.58 | sigma 0.0088 | elapsed 9392.8s
step  1780000 | reward(last100)   17.35 | sigma 0.0088 | elapsed 9445.1s
step  1790000 | reward(last100)   18.24 | sigma 0.0088 | elapsed 9494.7s
step  1800000 | reward(last100)   18.38 | sigma 0.0088 | elapsed 9544.9s
step  1810000 | reward(last100)   18.72 | sigma 0.0088 | elapsed 9595.2s
step  1820000 | reward(last100)   17.48 | sigma 0.0088 | elapsed 9645.3s
step  1830000 | reward(last100)   17.28 | sigma 0.0088 | elapsed 9694.4s
step  1840000 | reward(last100)   17.33 | sigma 0.0088 | elapsed 9745.5s
step  1850000 | reward(last100)   17.29 | sigma 0.0088 | elapsed 9799.1s
step  1860000 | reward(last100)   17.61 | sigma 0.0088 | elapsed 9849.5s
step  1870000 | reward(last100)   17.42 | sigma 0.0088 | elapsed 9896.6s
step  1880000 | reward(last100)   17.85 | sigma 0.0088 | elapsed 9956.0s
step  1890000 | reward(last100)   18.05 | sigma 0.0088 | elapsed 10015.5s
step  1900000 | reward(last100)   18.14 | sigma 0.0088 | elapsed 10076.7s
step  1910000 | reward(last100)   18.03 | sigma 0.0088 | elapsed 10138.7s
step  1920000 | reward(last100)   17.48 | sigma 0.0088 | elapsed 10201.6s
step  1930000 | reward(last100)   16.97 | sigma 0.0088 | elapsed 10261.7s
step  1940000 | reward(last100)   16.82 | sigma 0.0088 | elapsed 10321.9s
step  1950000 | reward(last100)   17.52 | sigma 0.0088 | elapsed 10383.4s
step  1960000 | reward(last100)   17.18 | sigma 0.0088 | elapsed 10445.1s
step  1970000 | reward(last100)   17.49 | sigma 0.0088 | elapsed 10507.3s
step  1980000 | reward(last100)   18.05 | sigma 0.0088 | elapsed 10568.1s
step  1990000 | reward(last100)   18.11 | sigma 0.0088 | elapsed 10629.2s
step  2000000 | reward(last100)   17.33 | sigma 0.0088 | elapsed 10690.2s
step  2010000 | reward(last100)   17.48 | sigma 0.0088 | elapsed 10753.0s
step  2020000 | reward(last100)   16.60 | sigma 0.0088 | elapsed 10815.0s
step  2030000 | reward(last100)   17.60 | sigma 0.0088 | elapsed 10874.4s
step  2040000 | reward(last100)   16.66 | sigma 0.0088 | elapsed 10935.7s
step  2050000 | reward(last100)   17.79 | sigma 0.0088 | elapsed 10993.4s
step  2060000 | reward(last100)   18.16 | sigma 0.0088 | elapsed 11052.3s
step  2070000 | reward(last100)   18.34 | sigma 0.0088 | elapsed 11111.6s
step  2080000 | reward(last100)   18.69 | sigma 0.0088 | elapsed 11171.7s
step  2090000 | reward(last100)   18.75 | sigma 0.0088 | elapsed 11230.7s
step  2100000 | reward(last100)   18.59 | sigma 0.0088 | elapsed 11290.0s
step  2110000 | reward(last100)   18.56 | sigma 0.0088 | elapsed 11347.8s
step  2120000 | reward(last100)   18.30 | sigma 0.0088 | elapsed 11407.0s
step  2130000 | reward(last100)   19.25 | sigma 0.0088 | elapsed 11464.1s
step  2140000 | reward(last100)   18.45 | sigma 0.0088 | elapsed 11522.3s
step  2150000 | reward(last100)   18.21 | sigma 0.0088 | elapsed 11580.2s
step  2160000 | reward(last100)   18.48 | sigma 0.0088 | elapsed 11639.5s
step  2170000 | reward(last100)   18.51 | sigma 0.0088 | elapsed 11701.3s
step  2180000 | reward(last100)   18.27 | sigma 0.0087 | elapsed 11764.1s
step  2190000 | reward(last100)   18.90 | sigma 0.0087 | elapsed 11827.9s
step  2200000 | reward(last100)   18.76 | sigma 0.0087 | elapsed 11891.8s
step  2210000 | reward(last100)   19.42 | sigma 0.0087 | elapsed 11956.6s
step  2220000 | reward(last100)   18.46 | sigma 0.0088 | elapsed 12021.4s
step  2230000 | reward(last100)   19.19 | sigma 0.0088 | elapsed 12085.2s
step  2240000 | reward(last100)   18.72 | sigma 0.0088 | elapsed 12145.2s
step  2250000 | reward(last100)   18.60 | sigma 0.0088 | elapsed 12207.5s
step  2260000 | reward(last100)   19.83 | sigma 0.0088 | elapsed 12271.5s
step  2270000 | reward(last100)   20.08 | sigma 0.0088 | elapsed 12334.2s
step  2280000 | reward(last100)   20.27 | sigma 0.0088 | elapsed 12397.3s
step  2290000 | reward(last100)   21.12 | sigma 0.0088 | elapsed 12460.6s
step  2300000 | reward(last100)   20.16 | sigma 0.0088 | elapsed 12522.1s
step  2310000 | reward(last100)   19.35 | sigma 0.0088 | elapsed 12584.5s
step  2320000 | reward(last100)   18.66 | sigma 0.0088 | elapsed 12647.1s
step  2330000 | reward(last100)   18.40 | sigma 0.0088 | elapsed 12710.8s
step  2340000 | reward(last100)   18.49 | sigma 0.0088 | elapsed 12774.5s
step  2350000 | reward(last100)   18.79 | sigma 0.0088 | elapsed 12840.6s
step  2360000 | reward(last100)   19.50 | sigma 0.0088 | elapsed 12904.5s
step  2370000 | reward(last100)   19.33 | sigma 0.0088 | elapsed 12964.5s
step  2380000 | reward(last100)   18.70 | sigma 0.0088 | elapsed 13025.6s
step  2390000 | reward(last100)   18.70 | sigma 0.0088 | elapsed 13086.2s
step  2400000 | reward(last100)   18.16 | sigma 0.0088 | elapsed 13150.1s
step  2410000 | reward(last100)   19.43 | sigma 0.0088 | elapsed 13212.8s
step  2420000 | reward(last100)   20.27 | sigma 0.0088 | elapsed 13276.0s
step  2430000 | reward(last100)   20.54 | sigma 0.0088 | elapsed 13339.9s
step  2440000 | reward(last100)   20.56 | sigma 0.0088 | elapsed 13403.9s
step  2450000 | reward(last100)   20.39 | sigma 0.0089 | elapsed 13467.9s
step  2460000 | reward(last100)   20.48 | sigma 0.0088 | elapsed 13527.2s
step  2470000 | reward(last100)   20.48 | sigma 0.0088 | elapsed 13585.5s
step  2480000 | reward(last100)   20.66 | sigma 0.0088 | elapsed 13647.3s
