step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    4.2s
step    10000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    8.4s
step    15000 | reward(last100)  0.0000 | sigma 0.0302 | elapsed   27.5s
step    20000 | reward(last100)  0.0206 | sigma 0.0290 | elapsed   50.2s
step    25000 | reward(last100)  0.0365 | sigma 0.0278 | elapsed   71.7s
step    30000 | reward(last100)  0.0305 | sigma 0.0270 | elapsed   92.4s
step    35000 | reward(last100)  0.0262 | sigma 0.0263 | elapsed  113.2s
step    40000 | reward(last100)  0.0259 | sigma 0.0259 | elapsed  129.5s
step    45000 | reward(last100)  0.0304 | sigma 0.0257 | elapsed  146.8s
step    50000 | reward(last100)  0.0315 | sigma 0.0256 | elapsed  163.4s
step    55000 | reward(last100)  0.0276 | sigma 0.0255 | elapsed  179.9s
step    60000 | reward(last100)  0.0180 | sigma 0.0255 | elapsed  193.9s
step    65000 | reward(last100)  0.0195 | sigma 0.0254 | elapsed  208.6s
step    70000 | reward(last100)  0.0195 | sigma 0.0253 | elapsed  223.0s
step    75000 | reward(last100)  0.0195 | sigma 0.0253 | elapsed  237.9s
step    80000 | reward(last100)  0.0195 | sigma 0.0253 | elapsed  256.8s
step    85000 | reward(last100)  0.0139 | sigma 0.0252 | elapsed  276.4s
step    90000 | reward(last100)  0.0063 | sigma 0.0252 | elapsed  295.7s
step    95000 | reward(last100)  0.0112 | sigma 0.0251 | elapsed  315.3s
step   100000 | reward(last100)  0.0049 | sigma 0.0251 | elapsed  334.8s
step   105000 | reward(last100)  0.0049 | sigma 0.0251 | elapsed  354.1s
step   110000 | reward(last100)  0.0049 | sigma 0.0250 | elapsed  374.8s
step   115000 | reward(last100)  0.0049 | sigma 0.0250 | elapsed  396.3s
step   120000 | reward(last100)  0.0049 | sigma 0.0250 | elapsed  413.1s
step   125000 | reward(last100)  0.0049 | sigma 0.0250 | elapsed  428.0s
step   130000 | reward(last100)  0.0000 | sigma 0.0250 | elapsed  445.3s
step   135000 | reward(last100)  0.0000 | sigma 0.0249 | elapsed  462.4s
step   140000 | reward(last100)  0.0000 | sigma 0.0249 | elapsed  480.7s
step   145000 | reward(last100)  0.0000 | sigma 0.0249 | elapsed  500.1s
step   150000 | reward(last100)  0.0000 | sigma 0.0249 | elapsed  518.9s
step   155000 | reward(last100)  0.0000 | sigma 0.0249 | elapsed  534.4s
step   160000 | reward(last100)  0.0072 | sigma 0.0249 | elapsed  554.9s
step   165000 | reward(last100)  0.0122 | sigma 0.0249 | elapsed  575.8s
step   170000 | reward(last100)  0.0122 | sigma 0.0249 | elapsed  596.2s
step   175000 | reward(last100)  0.0122 | sigma 0.0249 | elapsed  616.6s
step   180000 | reward(last100)  0.0172 | sigma 0.0249 | elapsed  637.6s
step   185000 | reward(last100)  0.0172 | sigma 0.0249 | elapsed  658.7s
step   190000 | reward(last100)  0.0193 | sigma 0.0248 | elapsed  678.9s
step   195000 | reward(last100)  0.0121 | sigma 0.0248 | elapsed  697.5s
step   200000 | reward(last100)  0.0071 | sigma 0.0248 | elapsed  715.9s
step   205000 | reward(last100)  0.0240 | sigma 0.0248 | elapsed  734.8s
step   210000 | reward(last100)  0.0288 | sigma 0.0248 | elapsed  753.4s
step   215000 | reward(last100)  0.0462 | sigma 0.0248 | elapsed  772.2s
step   220000 | reward(last100)  0.0494 | sigma 0.0248 | elapsed  790.1s
step   225000 | reward(last100)  0.0555 | sigma 0.0248 | elapsed  807.5s
step   230000 | reward(last100)  0.0555 | sigma 0.0248 | elapsed  825.3s
step   235000 | reward(last100)  0.0496 | sigma 0.0248 | elapsed  843.9s
step   240000 | reward(last100)  0.0521 | sigma 0.0248 | elapsed  861.8s
step   245000 | reward(last100)  0.0517 | sigma 0.0248 | elapsed  878.5s
step   250000 | reward(last100)  0.0311 | sigma 0.0248 | elapsed  893.6s
step   255000 | reward(last100)  0.0437 | sigma 0.0248 | elapsed  910.9s
step   260000 | reward(last100)  0.0457 | sigma 0.0248 | elapsed  927.0s
step   265000 | reward(last100)  0.0509 | sigma 0.0248 | elapsed  944.9s
step   270000 | reward(last100)  0.0509 | sigma 0.0248 | elapsed  960.3s
step   275000 | reward(last100)  0.0374 | sigma 0.0248 | elapsed  978.9s
step   280000 | reward(last100)  0.0480 | sigma 0.0247 | elapsed  999.2s
step   285000 | reward(last100)  0.0634 | sigma 0.0247 | elapsed 1019.6s
step   290000 | reward(last100)  0.0700 | sigma 0.0247 | elapsed 1039.8s
step   295000 | reward(last100)  0.0597 | sigma 0.0247 | elapsed 1059.8s
step   300000 | reward(last100)  0.0614 | sigma 0.0247 | elapsed 1080.0s
step   305000 | reward(last100)  0.0906 | sigma 0.0247 | elapsed 1098.0s
step   310000 | reward(last100)  0.1120 | sigma 0.0246 | elapsed 1115.3s
step   315000 | reward(last100)  0.1171 | sigma 0.0245 | elapsed 1131.8s
step   320000 | reward(last100)  0.1110 | sigma 0.0244 | elapsed 1148.0s
step   325000 | reward(last100)  0.1328 | sigma 0.0243 | elapsed 1164.0s
step   330000 | reward(last100)  0.1424 | sigma 0.0242 | elapsed 1178.1s
step   335000 | reward(last100)  0.1271 | sigma 0.0241 | elapsed 1192.0s
step   340000 | reward(last100)  0.1117 | sigma 0.0240 | elapsed 1205.7s
step   345000 | reward(last100)  0.0887 | sigma 0.0239 | elapsed 1222.5s
step   350000 | reward(last100)  0.0597 | sigma 0.0237 | elapsed 1240.9s
step   355000 | reward(last100)  0.0468 | sigma 0.0235 | elapsed 1259.1s
step   360000 | reward(last100)  0.0465 | sigma 0.0234 | elapsed 1274.5s
step   365000 | reward(last100)  0.0437 | sigma 0.0231 | elapsed 1291.9s
