step     5000 | reward(last100)  0.0255 | sigma 0.0309 | elapsed    3.5s
step    10000 | reward(last100)  0.0128 | sigma 0.0309 | elapsed    7.1s
step    15000 | reward(last100)  0.0205 | sigma 0.0296 | elapsed   21.6s
step    20000 | reward(last100)  0.0251 | sigma 0.0278 | elapsed   36.1s
step    25000 | reward(last100)  0.0201 | sigma 0.0265 | elapsed   55.1s
step    30000 | reward(last100)  0.0167 | sigma 0.0257 | elapsed   76.0s
step    35000 | reward(last100)  0.0143 | sigma 0.0253 | elapsed   96.9s
step    40000 | reward(last100)  0.0118 | sigma 0.0251 | elapsed  117.8s
step    45000 | reward(last100)  0.0118 | sigma 0.0250 | elapsed  133.3s
step    50000 | reward(last100)  0.0068 | sigma 0.0249 | elapsed  148.5s
step    55000 | reward(last100)  0.0013 | sigma 0.0248 | elapsed  164.8s
step    60000 | reward(last100)  0.0013 | sigma 0.0248 | elapsed  180.6s
step    65000 | reward(last100)  0.0013 | sigma 0.0247 | elapsed  196.3s
step    70000 | reward(last100)  0.0013 | sigma 0.0247 | elapsed  212.1s
step    75000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed  227.6s
step    80000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed  242.2s
step    85000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed  256.9s
step    90000 | reward(last100)  0.0000 | sigma 0.0245 | elapsed  270.0s
step    95000 | reward(last100)  0.0000 | sigma 0.0245 | elapsed  282.5s
step   100000 | reward(last100)  0.0000 | sigma 0.0244 | elapsed  295.1s
step   105000 | reward(last100)  0.0000 | sigma 0.0244 | elapsed  311.4s
step   110000 | reward(last100)  0.0000 | sigma 0.0244 | elapsed  333.8s
step   115000 | reward(last100)  0.0000 | sigma 0.0244 | elapsed  357.2s
step   120000 | reward(last100)  0.0000 | sigma 0.0244 | elapsed  374.6s
step   125000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  391.7s
step   130000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  408.8s
step   135000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  425.9s
step   140000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  443.4s
step   145000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed  460.7s
step   150000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed  475.9s
step   155000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed  491.0s
step   160000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed  506.3s
step   165000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed  521.9s
step   170000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed  537.6s
step   175000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  553.7s
step   180000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  569.8s
step   185000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  585.9s
step   190000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  601.1s
step   195000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  615.9s
step   200000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  630.6s
step   205000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  644.3s
step   210000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  658.4s
step   215000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  673.3s
step   220000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  688.2s
step   225000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  703.1s
step   230000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  718.1s
step   235000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  733.1s
step   240000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  748.1s
step   245000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  763.3s
step   250000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  778.5s
step   255000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  794.2s
step   260000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  808.5s
step   265000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  822.1s
step   270000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  835.8s
step   275000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  849.8s
step   280000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  863.9s
step   285000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  878.1s
step   290000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  892.5s
step   295000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  906.9s
step   300000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed  921.6s
step   305000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed  936.8s
step   310000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed  951.4s
step   315000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed  966.0s
step   320000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed  980.6s
step   325000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed  995.3s
step   330000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1010.2s
step   335000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1025.0s
step   340000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1039.9s
step   345000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1055.3s
step   350000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1070.3s
step   355000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1085.7s
step   360000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1100.7s
step   365000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1115.7s
step   370000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1130.8s
step   375000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1148.6s
step   380000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1167.2s
step   385000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1185.0s
step   390000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1202.8s
step   395000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1221.0s
step   400000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1239.0s
