step     5000 | reward(last100)  0.0158 | sigma 0.0309 | elapsed    4.4s
step   410000 | reward(last100)  0.3562 | sigma 0.0246 | elapsed 1492.2s
step   415000 | reward(last100)  0.2827 | sigma 0.0246 | elapsed 1508.1s
step   420000 | reward(last100)  0.3890 | sigma 0.0246 | elapsed 1525.8s
step   425000 | reward(last100)  0.3992 | sigma 0.0246 | elapsed 1544.3s
step   430000 | reward(last100)  0.3683 | sigma 0.0246 | elapsed 1565.0s
step   435000 | reward(last100)  0.3167 | sigma 0.0246 | elapsed 1585.1s
step   440000 | reward(last100)  0.4177 | sigma 0.0246 | elapsed 1605.8s
step   445000 | reward(last100)  0.3575 | sigma 0.0246 | elapsed 1623.4s
step   450000 | reward(last100)  0.4933 | sigma 0.0246 | elapsed 1639.4s
step   455000 | reward(last100)  0.3682 | sigma 0.0246 | elapsed 1657.4s
step   460000 | reward(last100)  0.3441 | sigma 0.0246 | elapsed 1674.8s
step   465000 | reward(last100)  0.3703 | sigma 0.0246 | elapsed 1692.2s
step   470000 | reward(last100)  0.4303 | sigma 0.0246 | elapsed 1711.9s
step   475000 | reward(last100)  0.3965 | sigma 0.0246 | elapsed 1730.7s
step   480000 | reward(last100)  0.4038 | sigma 0.0246 | elapsed 1752.5s
step   485000 | reward(last100)  0.3926 | sigma 0.0246 | elapsed 1774.0s
step   490000 | reward(last100)  0.3360 | sigma 0.0246 | elapsed 1792.3s
step   495000 | reward(last100)  0.2739 | sigma 0.0246 | elapsed 1808.6s
step   500000 | reward(last100)  0.3915 | sigma 0.0246 | elapsed 1827.1s
step   505000 | reward(last100)  0.4077 | sigma 0.0246 | elapsed 1845.2s
step   510000 | reward(last100)  0.4307 | sigma 0.0246 | elapsed 1861.2s
step   515000 | reward(last100)  0.4990 | sigma 0.0246 | elapsed 1876.7s
step   520000 | reward(last100)  0.4016 | sigma 0.0246 | elapsed 1892.7s
step   525000 | reward(last100)  0.3666 | sigma 0.0246 | elapsed 1909.3s
step   530000 | reward(last100)  0.4416 | sigma 0.0246 | elapsed 1926.3s
step   535000 | reward(last100)  0.3532 | sigma 0.0246 | elapsed 1943.6s
step   540000 | reward(last100)  0.3869 | sigma 0.0246 | elapsed 1960.7s
