step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    3.5s
step    10000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    7.0s
step    15000 | reward(last100)  0.0000 | sigma 0.0298 | elapsed   19.0s
step    20000 | reward(last100)  0.0000 | sigma 0.0285 | elapsed   30.9s
step    25000 | reward(last100)  0.0000 | sigma 0.0274 | elapsed   44.5s
step    30000 | reward(last100)  0.0000 | sigma 0.0271 | elapsed   58.2s
step    35000 | reward(last100)  0.0000 | sigma 0.0269 | elapsed   71.9s
step    40000 | reward(last100)  0.0059 | sigma 0.0268 | elapsed   85.7s
step    45000 | reward(last100)  0.0059 | sigma 0.0267 | elapsed   99.4s
step    50000 | reward(last100)  0.0059 | sigma 0.0267 | elapsed  113.7s
step    55000 | reward(last100)  0.0059 | sigma 0.0266 | elapsed  128.1s
step    60000 | reward(last100)  0.0059 | sigma 0.0266 | elapsed  142.1s
step    65000 | reward(last100)  0.0059 | sigma 0.0265 | elapsed  156.0s
step    70000 | reward(last100)  0.0059 | sigma 0.0265 | elapsed  169.8s
step    75000 | reward(last100)  0.0082 | sigma 0.0265 | elapsed  183.8s
step    80000 | reward(last100)  0.0115 | sigma 0.0264 | elapsed  197.7s
step    85000 | reward(last100)  0.0301 | sigma 0.0264 | elapsed  211.6s
step    90000 | reward(last100)  0.0356 | sigma 0.0264 | elapsed  225.5s
step    95000 | reward(last100)  0.0401 | sigma 0.0263 | elapsed  239.4s
step   100000 | reward(last100)  0.0479 | sigma 0.0263 | elapsed  252.4s
step   105000 | reward(last100)  0.0479 | sigma 0.0263 | elapsed  264.9s
step   110000 | reward(last100)  0.0407 | sigma 0.0263 | elapsed  277.0s
step   115000 | reward(last100)  0.0385 | sigma 0.0262 | elapsed  289.2s
step   120000 | reward(last100)  0.0357 | sigma 0.0262 | elapsed  301.4s
step   125000 | reward(last100)  0.0301 | sigma 0.0262 | elapsed  313.5s
step   130000 | reward(last100)  0.0416 | sigma 0.0262 | elapsed  325.7s
step   135000 | reward(last100)  0.0338 | sigma 0.0262 | elapsed  338.0s
step   140000 | reward(last100)  0.0676 | sigma 0.0261 | elapsed  350.3s
step   145000 | reward(last100)  0.0844 | sigma 0.0261 | elapsed  362.6s
step   150000 | reward(last100)  0.1122 | sigma 0.0261 | elapsed  379.3s
step   155000 | reward(last100)  0.1499 | sigma 0.0261 | elapsed  392.2s
step   160000 | reward(last100)  0.1649 | sigma 0.0260 | elapsed  404.7s
step   165000 | reward(last100)  0.1648 | sigma 0.0258 | elapsed  417.1s
step   170000 | reward(last100)  0.1587 | sigma 0.0256 | elapsed  429.6s
step   175000 | reward(last100)  0.1398 | sigma 0.0254 | elapsed  443.4s
step   180000 | reward(last100)  0.1171 | sigma 0.0251 | elapsed  457.4s
step   185000 | reward(last100)  0.0840 | sigma 0.0249 | elapsed  471.5s
step   190000 | reward(last100)  0.0521 | sigma 0.0248 | elapsed  484.4s
step   195000 | reward(last100)  0.0369 | sigma 0.0246 | elapsed  496.8s
step   200000 | reward(last100)  0.0377 | sigma 0.0244 | elapsed  509.2s
step   205000 | reward(last100)  0.0147 | sigma 0.0242 | elapsed  521.9s
step   210000 | reward(last100)  0.0147 | sigma 0.0240 | elapsed  534.3s
step   215000 | reward(last100)  0.0223 | sigma 0.0238 | elapsed  546.7s
step   220000 | reward(last100)  0.0414 | sigma 0.0235 | elapsed  559.1s
step   225000 | reward(last100)  0.0414 | sigma 0.0234 | elapsed  571.5s
step   230000 | reward(last100)  0.0414 | sigma 0.0232 | elapsed  584.0s
step   235000 | reward(last100)  0.0315 | sigma 0.0231 | elapsed  596.5s
step   240000 | reward(last100)  0.0267 | sigma 0.0230 | elapsed  609.1s
step   245000 | reward(last100)  0.0267 | sigma 0.0230 | elapsed  621.7s
step   250000 | reward(last100)  0.0191 | sigma 0.0229 | elapsed  634.4s
step   255000 | reward(last100)  0.0095 | sigma 0.0229 | elapsed  647.3s
step   260000 | reward(last100)  0.0000 | sigma 0.0228 | elapsed  659.8s
step   265000 | reward(last100)  0.0000 | sigma 0.0228 | elapsed  672.4s
step   270000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  685.1s
