step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    3.9s
step    10000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    8.1s
step    15000 | reward(last100)  0.0000 | sigma 0.0297 | elapsed   25.6s
step    20000 | reward(last100)  0.0531 | sigma 0.0284 | elapsed   42.9s
step    25000 | reward(last100)  0.2208 | sigma 0.0272 | elapsed   61.6s
step    30000 | reward(last100)  0.9289 | sigma 0.0266 | elapsed   83.2s
step    35000 | reward(last100)  0.7888 | sigma 0.0257 | elapsed  103.9s
step    40000 | reward(last100)  0.6118 | sigma 0.0252 | elapsed  123.5s
step    45000 | reward(last100)  0.4384 | sigma 0.0248 | elapsed  146.4s
step    50000 | reward(last100)  0.2662 | sigma 0.0246 | elapsed  168.5s
step    55000 | reward(last100)  0.1101 | sigma 0.0243 | elapsed  189.2s
step    60000 | reward(last100)  0.1318 | sigma 0.0242 | elapsed  212.8s
step    65000 | reward(last100)  0.3963 | sigma 0.0240 | elapsed  230.7s
step    70000 | reward(last100)  0.4647 | sigma 0.0239 | elapsed  247.8s
step    75000 | reward(last100)  0.4566 | sigma 0.0238 | elapsed  263.5s
step    80000 | reward(last100)  0.3698 | sigma 0.0237 | elapsed  281.4s
step    85000 | reward(last100)  0.2292 | sigma 0.0237 | elapsed  302.3s
step    90000 | reward(last100)  0.1618 | sigma 0.0236 | elapsed  319.5s
step    95000 | reward(last100)  0.0999 | sigma 0.0236 | elapsed  336.7s
step   100000 | reward(last100)  0.1045 | sigma 0.0235 | elapsed  356.1s
step   105000 | reward(last100)  0.3386 | sigma 0.0235 | elapsed  374.0s
step   110000 | reward(last100)  0.7411 | sigma 0.0235 | elapsed  389.3s
step   115000 | reward(last100)  0.7825 | sigma 0.0235 | elapsed  403.2s
step   120000 | reward(last100)  0.8899 | sigma 0.0234 | elapsed  421.0s
step   125000 | reward(last100)  0.8463 | sigma 0.0233 | elapsed  441.9s
step   130000 | reward(last100)  0.8424 | sigma 0.0233 | elapsed  462.9s
step   135000 | reward(last100)  0.7244 | sigma 0.0232 | elapsed  484.5s
step   140000 | reward(last100)  0.5836 | sigma 0.0232 | elapsed  505.1s
step   145000 | reward(last100)  0.4707 | sigma 0.0232 | elapsed  521.7s
step   150000 | reward(last100)  0.5321 | sigma 0.0232 | elapsed  538.0s
