step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    3.5s
step    10000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    7.0s
step    15000 | reward(last100)  0.0000 | sigma 0.0301 | elapsed   19.2s
step    20000 | reward(last100)  0.0111 | sigma 0.0285 | elapsed   31.3s
step    25000 | reward(last100)  0.0090 | sigma 0.0270 | elapsed   45.0s
step    30000 | reward(last100)  0.0075 | sigma 0.0263 | elapsed   58.7s
step    35000 | reward(last100)  0.0064 | sigma 0.0259 | elapsed   72.4s
step    40000 | reward(last100)  0.0093 | sigma 0.0257 | elapsed   86.1s
step    45000 | reward(last100)  0.0093 | sigma 0.0256 | elapsed   99.9s
step    50000 | reward(last100)  0.0093 | sigma 0.0255 | elapsed  114.1s
step    55000 | reward(last100)  0.0130 | sigma 0.0254 | elapsed  127.2s
step    60000 | reward(last100)  0.0130 | sigma 0.0253 | elapsed  139.8s
step    65000 | reward(last100)  0.0130 | sigma 0.0252 | elapsed  152.4s
step    70000 | reward(last100)  0.0130 | sigma 0.0252 | elapsed  164.9s
step    75000 | reward(last100)  0.0099 | sigma 0.0252 | elapsed  177.4s
step    80000 | reward(last100)  0.0099 | sigma 0.0251 | elapsed  190.0s
step    85000 | reward(last100)  0.0099 | sigma 0.0250 | elapsed  202.5s
step    90000 | reward(last100)  0.0019 | sigma 0.0250 | elapsed  215.2s
step    95000 | reward(last100)  0.0000 | sigma 0.0250 | elapsed  227.8s
step   100000 | reward(last100)  0.0146 | sigma 0.0250 | elapsed  240.4s
step   105000 | reward(last100)  0.0242 | sigma 0.0250 | elapsed  253.4s
step   110000 | reward(last100)  0.0401 | sigma 0.0249 | elapsed  265.9s
step   115000 | reward(last100)  0.0463 | sigma 0.0249 | elapsed  278.5s
step   120000 | reward(last100)  0.0463 | sigma 0.0249 | elapsed  291.1s
step   125000 | reward(last100)  0.0463 | sigma 0.0248 | elapsed  303.7s
step   130000 | reward(last100)  0.0463 | sigma 0.0248 | elapsed  316.2s
step   135000 | reward(last100)  0.0317 | sigma 0.0247 | elapsed  328.8s
step   140000 | reward(last100)  0.0221 | sigma 0.0245 | elapsed  341.6s
step   145000 | reward(last100)  0.0063 | sigma 0.0243 | elapsed  354.2s
step   150000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  366.9s
step   155000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed  384.7s
step   160000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed  398.5s
step   165000 | reward(last100)  0.0000 | sigma 0.0236 | elapsed  411.2s
step   170000 | reward(last100)  0.0000 | sigma 0.0234 | elapsed  423.9s
step   175000 | reward(last100)  0.0000 | sigma 0.0233 | elapsed  436.6s
step   180000 | reward(last100)  0.0000 | sigma 0.0231 | elapsed  449.4s
step   185000 | reward(last100)  0.0000 | sigma 0.0230 | elapsed  462.3s
step   190000 | reward(last100)  0.0000 | sigma 0.0230 | elapsed  475.1s
step   195000 | reward(last100)  0.0000 | sigma 0.0229 | elapsed  487.8s
step   200000 | reward(last100)  0.0000 | sigma 0.0229 | elapsed  500.4s
step   205000 | reward(last100)  0.0000 | sigma 0.0228 | elapsed  513.3s
step   210000 | reward(last100)  0.0000 | sigma 0.0228 | elapsed  525.8s
step   215000 | reward(last100)  0.0000 | sigma 0.0228 | elapsed  538.2s
step   220000 | reward(last100)  0.0000 | sigma 0.0228 | elapsed  550.8s
step   225000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  563.3s
step   230000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  576.0s
step   235000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  588.7s
step   240000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  601.6s
step   245000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  614.9s
step   250000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  627.7s
step   255000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  641.4s
step   260000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  654.7s
step   265000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  668.1s
step   270000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  681.5s
step   275000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  695.0s
step   280000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  708.5s
step   285000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  722.2s
step   290000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  735.9s
step   295000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  749.8s
step   300000 | reward(last100)  0.0000 | sigma 0.0226 | elapsed  763.8s
step   305000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  779.7s
step   310000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  795.1s
step   315000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  810.5s
step   320000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  825.9s
step   325000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  841.4s
step   330000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  857.0s
step   335000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  872.6s
step   340000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  888.4s
step   345000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  905.1s
step   350000 | reward(last100)  0.0000 | sigma 0.0226 | elapsed  921.6s
step   355000 | reward(last100)  0.0000 | sigma 0.0226 | elapsed  938.4s
step   360000 | reward(last100)  0.0000 | sigma 0.0226 | elapsed  955.0s
step   365000 | reward(last100)  0.0000 | sigma 0.0226 | elapsed  971.5s
step   370000 | reward(last100)  0.0000 | sigma 0.0226 | elapsed  987.9s
step   375000 | reward(last100)  0.0000 | sigma 0.0226 | elapsed 1004.4s
