step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    5.0s
step    10000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed   10.6s
step    15000 | reward(last100)  0.0000 | sigma 0.0301 | elapsed   32.6s
step    20000 | reward(last100)  0.0402 | sigma 0.0284 | elapsed   54.5s
step    25000 | reward(last100)  0.0819 | sigma 0.0269 | elapsed   76.2s
step    30000 | reward(last100)  0.1104 | sigma 0.0262 | elapsed   98.3s
step    35000 | reward(last100)  0.4848 | sigma 0.0257 | elapsed  118.6s
step    40000 | reward(last100)  0.1546 | sigma 0.0251 | elapsed  137.8s
step    45000 | reward(last100)  0.1378 | sigma 0.0246 | elapsed  156.8s
step    50000 | reward(last100)  0.0715 | sigma 0.0242 | elapsed  176.7s
step    55000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed  197.9s
step    60000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed  222.3s
step    65000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed  245.7s
step    70000 | reward(last100)  0.0000 | sigma 0.0234 | elapsed  268.8s
step    75000 | reward(last100)  0.0000 | sigma 0.0233 | elapsed  291.7s
step    80000 | reward(last100)  0.0264 | sigma 0.0232 | elapsed  314.2s
step    85000 | reward(last100)  0.0240 | sigma 0.0232 | elapsed  337.1s
step    90000 | reward(last100)  0.0314 | sigma 0.0231 | elapsed  359.4s
step    95000 | reward(last100)  0.0438 | sigma 0.0230 | elapsed  382.0s
step   100000 | reward(last100)  0.0554 | sigma 0.0230 | elapsed  402.8s
step   105000 | reward(last100)  0.1380 | sigma 0.0229 | elapsed  425.8s
step   110000 | reward(last100)  0.1296 | sigma 0.0229 | elapsed  443.4s
step   115000 | reward(last100)  0.1303 | sigma 0.0229 | elapsed  463.4s
step   120000 | reward(last100)  0.0990 | sigma 0.0228 | elapsed  485.0s
step   125000 | reward(last100)  0.0865 | sigma 0.0228 | elapsed  506.4s
step   130000 | reward(last100)  0.1728 | sigma 0.0228 | elapsed  526.6s
step   135000 | reward(last100)  0.1750 | sigma 0.0228 | elapsed  546.7s
step   140000 | reward(last100)  0.0973 | sigma 0.0228 | elapsed  564.6s
step   145000 | reward(last100)  0.0835 | sigma 0.0227 | elapsed  585.5s
step   150000 | reward(last100)  0.1442 | sigma 0.0227 | elapsed  607.6s
step   155000 | reward(last100)  0.1708 | sigma 0.0226 | elapsed  628.1s
step   160000 | reward(last100)  0.1777 | sigma 0.0225 | elapsed  649.9s
step   165000 | reward(last100)  0.2353 | sigma 0.0225 | elapsed  666.8s
step   170000 | reward(last100)  0.1578 | sigma 0.0224 | elapsed  683.3s
step   175000 | reward(last100)  0.1360 | sigma 0.0224 | elapsed  702.4s
step   180000 | reward(last100)  0.1814 | sigma 0.0224 | elapsed  728.0s
step   185000 | reward(last100)  0.2056 | sigma 0.0224 | elapsed  752.8s
step   190000 | reward(last100)  0.1805 | sigma 0.0223 | elapsed  776.2s
step   195000 | reward(last100)  0.1498 | sigma 0.0223 | elapsed  798.3s
step   200000 | reward(last100)  0.1644 | sigma 0.0223 | elapsed  816.6s
step   205000 | reward(last100)  0.1180 | sigma 0.0223 | elapsed  835.1s
step   210000 | reward(last100)  0.1751 | sigma 0.0223 | elapsed  855.1s
step   215000 | reward(last100)  0.1931 | sigma 0.0223 | elapsed  875.6s
step   220000 | reward(last100)  0.1771 | sigma 0.0223 | elapsed  895.7s
step   225000 | reward(last100)  0.1295 | sigma 0.0222 | elapsed  915.2s
step   230000 | reward(last100)  0.1594 | sigma 0.0222 | elapsed  932.6s
step   235000 | reward(last100)  0.2030 | sigma 0.0222 | elapsed  949.1s
step   240000 | reward(last100)  0.1604 | sigma 0.0223 | elapsed  967.8s
step   245000 | reward(last100)  0.2678 | sigma 0.0223 | elapsed  987.3s
step   250000 | reward(last100)  0.1113 | sigma 0.0222 | elapsed 1009.7s
step   255000 | reward(last100)  0.1733 | sigma 0.0222 | elapsed 1025.9s
