step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    4.2s
step   410000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1517.1s
step   415000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1534.3s
step   420000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1551.4s
step   425000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1567.4s
step   430000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1583.3s
step   435000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1599.5s
step   440000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1616.8s
step   445000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1634.1s
step   450000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1650.3s
step   455000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1668.8s
step   460000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1687.2s
step   465000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1707.5s
step   470000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1727.8s
step   475000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1747.7s
step   480000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1765.3s
step   485000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1781.9s
step   490000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1799.0s
step   495000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1817.8s
step   500000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1838.1s
step   505000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1856.0s
step   510000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1873.1s
step   515000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1889.5s
step   520000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1905.3s
step   525000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1921.2s
step   530000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1938.0s
step   535000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1953.9s
step   540000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1969.6s
step   545000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1985.3s
step   550000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 2001.1s
step   555000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 2019.6s
step   560000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 2041.3s
step   565000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2062.6s
step   570000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 2083.6s
step   575000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 2102.3s
step   580000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2119.9s
step   585000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2140.6s
step   590000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2162.0s
step   595000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2183.3s
step   600000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2204.7s
step   605000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2222.3s
step   610000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2239.6s
step   615000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2260.6s
step   620000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2278.8s
step   625000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2295.9s
step   630000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2312.2s
step   635000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2331.1s
step   640000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2351.0s
step   645000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2372.1s
step   650000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2394.1s
step   655000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2411.2s
step   660000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2426.9s
step   665000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2443.5s
step   670000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2459.0s
step   675000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2475.0s
step   680000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2491.9s
step   685000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2508.7s
step   690000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2528.7s
step   695000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2548.8s
step   700000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2569.6s
step   705000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2585.9s
step   710000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2602.9s
step   715000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2619.7s
step   720000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2637.9s
step   725000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2659.3s
step   730000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2680.6s
step   735000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2701.2s
step   740000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2722.0s
step   745000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2742.8s
step   750000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2763.5s
step   755000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2780.4s
step   760000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2797.0s
step   765000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2813.6s
step   770000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2830.3s
step   775000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2847.0s
step   780000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2863.6s
step   785000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2880.4s
step   790000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2897.2s
step   795000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2914.2s
step   800000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2931.0s
step   805000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2948.7s
step   810000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2966.9s
step   815000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 2984.4s
step   820000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3001.7s
step   825000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3018.8s
step   830000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3039.8s
step   835000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3061.6s
step   840000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3083.5s
step   845000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3105.4s
step   850000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3127.4s
step   855000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3146.5s
step   860000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3165.2s
step   865000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3183.9s
step   870000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3205.4s
step   875000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3224.8s
step   880000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3242.4s
step   885000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3260.1s
step   890000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3278.5s
step   895000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3297.5s
step   900000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3315.6s
step   905000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3333.7s
step   910000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3351.4s
step   915000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3372.1s
step   920000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3394.4s
step   925000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3415.1s
step   930000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3434.1s
step   935000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3452.9s
step   940000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3471.5s
step   945000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3489.2s
step   950000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3507.1s
step   955000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3526.6s
step   960000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3545.6s
step   965000 | reward(last100)  0.0000 | sigma 0.0220 | elapsed 3565.1s
