step     5000 | reward(last100)  0.0255 | sigma 0.0309 | elapsed    5.6s
step   410000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1474.8s
step   415000 | reward(last100)  0.0057 | sigma 0.0238 | elapsed 1496.4s
step   420000 | reward(last100)  0.0057 | sigma 0.0238 | elapsed 1518.4s
step   425000 | reward(last100)  0.0057 | sigma 0.0238 | elapsed 1539.5s
step   430000 | reward(last100)  0.0139 | sigma 0.0238 | elapsed 1560.8s
step   435000 | reward(last100)  0.0153 | sigma 0.0238 | elapsed 1581.8s
step   440000 | reward(last100)  0.0153 | sigma 0.0238 | elapsed 1603.1s
step   445000 | reward(last100)  0.0153 | sigma 0.0239 | elapsed 1622.3s
step   450000 | reward(last100)  0.0096 | sigma 0.0238 | elapsed 1642.8s
step   455000 | reward(last100)  0.0096 | sigma 0.0238 | elapsed 1664.5s
step   460000 | reward(last100)  0.0096 | sigma 0.0238 | elapsed 1684.4s
step   465000 | reward(last100)  0.0014 | sigma 0.0239 | elapsed 1702.2s
step   470000 | reward(last100)  0.0014 | sigma 0.0239 | elapsed 1720.5s
step   475000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1739.2s
step   480000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1757.9s
step   485000 | reward(last100)  0.0051 | sigma 0.0239 | elapsed 1776.4s
step   490000 | reward(last100)  0.0051 | sigma 0.0239 | elapsed 1794.2s
step   495000 | reward(last100)  0.0051 | sigma 0.0239 | elapsed 1810.1s
step   500000 | reward(last100)  0.0051 | sigma 0.0239 | elapsed 1826.2s
step   505000 | reward(last100)  0.0051 | sigma 0.0239 | elapsed 1844.7s
step   510000 | reward(last100)  0.0051 | sigma 0.0239 | elapsed 1862.4s
step   515000 | reward(last100)  0.0051 | sigma 0.0239 | elapsed 1879.9s
step   520000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1899.7s
step   525000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1919.4s
step   530000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1938.1s
step   535000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1959.3s
step   540000 | reward(last100)  0.0041 | sigma 0.0239 | elapsed 1981.8s
step   545000 | reward(last100)  0.0041 | sigma 0.0239 | elapsed 2003.2s
step   550000 | reward(last100)  0.0041 | sigma 0.0239 | elapsed 2019.6s
step   555000 | reward(last100)  0.0041 | sigma 0.0239 | elapsed 2039.6s
step   560000 | reward(last100)  0.0041 | sigma 0.0239 | elapsed 2056.7s
step   565000 | reward(last100)  0.0041 | sigma 0.0239 | elapsed 2073.6s
step   570000 | reward(last100)  0.0041 | sigma 0.0239 | elapsed 2092.0s
step   575000 | reward(last100)  0.0041 | sigma 0.0239 | elapsed 2108.3s
step   580000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 2124.7s
step   585000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 2141.2s
step   590000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 2157.7s
step   595000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 2174.0s
step   600000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 2190.9s
step   605000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 2213.1s
step   610000 | reward(last100)  0.0045 | sigma 0.0239 | elapsed 2231.9s
step   615000 | reward(last100)  0.0069 | sigma 0.0239 | elapsed 2250.1s
step   620000 | reward(last100)  0.0069 | sigma 0.0239 | elapsed 2271.3s
step   625000 | reward(last100)  0.0069 | sigma 0.0239 | elapsed 2294.0s
step   630000 | reward(last100)  0.0069 | sigma 0.0239 | elapsed 2317.7s
step   635000 | reward(last100)  0.0069 | sigma 0.0239 | elapsed 2338.9s
step   640000 | reward(last100)  0.0069 | sigma 0.0239 | elapsed 2355.8s
step   645000 | reward(last100)  0.0105 | sigma 0.0239 | elapsed 2372.2s
step   650000 | reward(last100)  0.0080 | sigma 0.0239 | elapsed 2390.1s
step   655000 | reward(last100)  0.0080 | sigma 0.0239 | elapsed 2408.2s
step   660000 | reward(last100)  0.0096 | sigma 0.0239 | elapsed 2426.7s
step   665000 | reward(last100)  0.0096 | sigma 0.0239 | elapsed 2445.1s
step   670000 | reward(last100)  0.0096 | sigma 0.0239 | elapsed 2463.8s
step   675000 | reward(last100)  0.0096 | sigma 0.0239 | elapsed 2482.6s
step   680000 | reward(last100)  0.0016 | sigma 0.0239 | elapsed 2500.5s
step   685000 | reward(last100)  0.0016 | sigma 0.0239 | elapsed 2521.2s
step   690000 | reward(last100)  0.0016 | sigma 0.0239 | elapsed 2542.0s
step   695000 | reward(last100)  0.0053 | sigma 0.0239 | elapsed 2561.3s
step   700000 | reward(last100)  0.0053 | sigma 0.0239 | elapsed 2578.7s
step   705000 | reward(last100)  0.0233 | sigma 0.0239 | elapsed 2597.5s
step   710000 | reward(last100)  0.0233 | sigma 0.0239 | elapsed 2614.0s
step   715000 | reward(last100)  0.0299 | sigma 0.0239 | elapsed 2631.1s
step   720000 | reward(last100)  0.0326 | sigma 0.0239 | elapsed 2648.7s
step   725000 | reward(last100)  0.0326 | sigma 0.0239 | elapsed 2666.1s
step   730000 | reward(last100)  0.0273 | sigma 0.0239 | elapsed 2683.6s
step   735000 | reward(last100)  0.0360 | sigma 0.0239 | elapsed 2700.9s
step   740000 | reward(last100)  0.0249 | sigma 0.0239 | elapsed 2717.2s
step   745000 | reward(last100)  0.0180 | sigma 0.0239 | elapsed 2733.5s
step   750000 | reward(last100)  0.0259 | sigma 0.0239 | elapsed 2750.3s
step   755000 | reward(last100)  0.0328 | sigma 0.0239 | elapsed 2768.5s
step   760000 | reward(last100)  0.0422 | sigma 0.0239 | elapsed 2786.0s
step   765000 | reward(last100)  0.0488 | sigma 0.0239 | elapsed 2803.3s
step   770000 | reward(last100)  0.0412 | sigma 0.0239 | elapsed 2821.7s
step   775000 | reward(last100)  0.0596 | sigma 0.0239 | elapsed 2840.9s
step   780000 | reward(last100)  0.0596 | sigma 0.0239 | elapsed 2863.1s
step   785000 | reward(last100)  0.0547 | sigma 0.0239 | elapsed 2885.1s
step   790000 | reward(last100)  0.0518 | sigma 0.0238 | elapsed 2904.6s
step   795000 | reward(last100)  0.0424 | sigma 0.0238 | elapsed 2924.9s
step   800000 | reward(last100)  0.0359 | sigma 0.0238 | elapsed 2942.0s
step   805000 | reward(last100)  0.0347 | sigma 0.0237 | elapsed 2958.8s
step   810000 | reward(last100)  0.0163 | sigma 0.0237 | elapsed 2974.9s
