step     5000 | reward(last100)  0.0158 | sigma 0.0309 | elapsed    5.9s
step    10000 | reward(last100)  0.0023 | sigma 0.0309 | elapsed   11.8s
step    15000 | reward(last100)  0.0532 | sigma 0.0298 | elapsed   34.9s
step    20000 | reward(last100)  0.0765 | sigma 0.0279 | elapsed   57.6s
step    25000 | reward(last100)  0.0564 | sigma 0.0266 | elapsed   79.0s
step    30000 | reward(last100)  0.0862 | sigma 0.0261 | elapsed  101.0s
step    35000 | reward(last100)  0.0915 | sigma 0.0258 | elapsed  120.5s
step    40000 | reward(last100)  0.0659 | sigma 0.0257 | elapsed  136.0s
step    45000 | reward(last100)  0.0780 | sigma 0.0256 | elapsed  156.4s
step    50000 | reward(last100)  0.0513 | sigma 0.0255 | elapsed  177.4s
step    55000 | reward(last100)  0.0711 | sigma 0.0254 | elapsed  194.3s
step    60000 | reward(last100)  0.0663 | sigma 0.0252 | elapsed  211.9s
step    65000 | reward(last100)  0.0557 | sigma 0.0251 | elapsed  232.0s
step    70000 | reward(last100)  0.1075 | sigma 0.0251 | elapsed  253.9s
step    75000 | reward(last100)  0.1410 | sigma 0.0249 | elapsed  271.0s
step    80000 | reward(last100)  0.1417 | sigma 0.0248 | elapsed  294.7s
step    85000 | reward(last100)  0.1198 | sigma 0.0248 | elapsed  313.5s
step    90000 | reward(last100)  0.1490 | sigma 0.0247 | elapsed  331.8s
step    95000 | reward(last100)  0.1721 | sigma 0.0247 | elapsed  348.5s
step   100000 | reward(last100)  0.1498 | sigma 0.0246 | elapsed  368.2s
step   105000 | reward(last100)  0.1855 | sigma 0.0245 | elapsed  389.8s
step   110000 | reward(last100)  0.1421 | sigma 0.0245 | elapsed  410.7s
step   115000 | reward(last100)  0.1845 | sigma 0.0244 | elapsed  426.8s
step   120000 | reward(last100)  0.2318 | sigma 0.0244 | elapsed  441.8s
step   125000 | reward(last100)  0.0825 | sigma 0.0243 | elapsed  463.4s
step   130000 | reward(last100)  0.1354 | sigma 0.0243 | elapsed  481.9s
step   135000 | reward(last100)  0.1889 | sigma 0.0242 | elapsed  497.8s
step   140000 | reward(last100)  0.1459 | sigma 0.0242 | elapsed  516.1s
step   145000 | reward(last100)  0.1958 | sigma 0.0242 | elapsed  536.9s
step   150000 | reward(last100)  0.2051 | sigma 0.0241 | elapsed  556.3s
step   155000 | reward(last100)  0.1902 | sigma 0.0241 | elapsed  578.5s
step   160000 | reward(last100)  0.2019 | sigma 0.0241 | elapsed  597.9s
step   165000 | reward(last100)  0.1467 | sigma 0.0241 | elapsed  616.4s
step   170000 | reward(last100)  0.2041 | sigma 0.0241 | elapsed  637.5s
step   175000 | reward(last100)  0.1823 | sigma 0.0241 | elapsed  656.9s
step   180000 | reward(last100)  0.1214 | sigma 0.0241 | elapsed  678.1s
step   185000 | reward(last100)  0.2064 | sigma 0.0240 | elapsed  696.4s
step   190000 | reward(last100)  0.2111 | sigma 0.0240 | elapsed  716.3s
step   195000 | reward(last100)  0.1316 | sigma 0.0240 | elapsed  736.3s
step   200000 | reward(last100)  0.1288 | sigma 0.0240 | elapsed  756.6s
step   205000 | reward(last100)  0.1157 | sigma 0.0241 | elapsed  778.1s
step   210000 | reward(last100)  0.2131 | sigma 0.0241 | elapsed  798.9s
step   215000 | reward(last100)  0.2087 | sigma 0.0240 | elapsed  817.0s
step   220000 | reward(last100)  0.1618 | sigma 0.0240 | elapsed  833.0s
step   225000 | reward(last100)  0.1894 | sigma 0.0240 | elapsed  851.5s
step   230000 | reward(last100)  0.1689 | sigma 0.0240 | elapsed  869.1s
step   235000 | reward(last100)  0.1936 | sigma 0.0240 | elapsed  888.3s
step   240000 | reward(last100)  0.1708 | sigma 0.0240 | elapsed  908.3s
step   245000 | reward(last100)  0.1968 | sigma 0.0240 | elapsed  929.0s
step   250000 | reward(last100)  0.1459 | sigma 0.0240 | elapsed  949.5s
step   255000 | reward(last100)  0.1979 | sigma 0.0240 | elapsed  967.4s
step   260000 | reward(last100)  0.1439 | sigma 0.0240 | elapsed  983.2s
step   265000 | reward(last100)  0.0465 | sigma 0.0240 | elapsed 1001.3s
step   270000 | reward(last100)  0.1981 | sigma 0.0240 | elapsed 1024.2s
step   275000 | reward(last100)  0.1541 | sigma 0.0240 | elapsed 1046.3s
step   280000 | reward(last100)  0.1367 | sigma 0.0240 | elapsed 1068.0s
step   285000 | reward(last100)  0.1862 | sigma 0.0240 | elapsed 1090.1s
step   290000 | reward(last100)  0.1467 | sigma 0.0240 | elapsed 1112.3s
step   295000 | reward(last100)  0.1041 | sigma 0.0240 | elapsed 1134.4s
step   300000 | reward(last100)  0.2271 | sigma 0.0240 | elapsed 1156.5s
step   305000 | reward(last100)  0.2081 | sigma 0.0240 | elapsed 1172.6s
step   310000 | reward(last100)  0.1689 | sigma 0.0240 | elapsed 1188.7s
step   315000 | reward(last100)  0.1321 | sigma 0.0240 | elapsed 1206.2s
step   320000 | reward(last100)  0.1577 | sigma 0.0240 | elapsed 1227.2s
step   325000 | reward(last100)  0.1515 | sigma 0.0240 | elapsed 1249.7s
step   330000 | reward(last100)  0.2291 | sigma 0.0240 | elapsed 1272.1s
step   335000 | reward(last100)  0.1734 | sigma 0.0240 | elapsed 1294.7s
step   340000 | reward(last100)  0.1774 | sigma 0.0240 | elapsed 1317.9s
step   345000 | reward(last100)  0.0811 | sigma 0.0240 | elapsed 1340.6s
step   350000 | reward(last100)  0.1348 | sigma 0.0240 | elapsed 1361.8s
step   355000 | reward(last100)  0.1601 | sigma 0.0240 | elapsed 1381.1s
