step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    5.5s
step    10000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed   11.6s
step    15000 | reward(last100)  0.0000 | sigma 0.0298 | elapsed   34.4s
step    20000 | reward(last100)  0.0229 | sigma 0.0285 | elapsed   58.3s
step    25000 | reward(last100)  0.1039 | sigma 0.0275 | elapsed   80.9s
step    30000 | reward(last100)  0.1934 | sigma 0.0271 | elapsed   99.3s
step    35000 | reward(last100)  0.2480 | sigma 0.0267 | elapsed  117.1s
step    40000 | reward(last100)  0.2672 | sigma 0.0261 | elapsed  135.2s
step    45000 | reward(last100)  0.1722 | sigma 0.0255 | elapsed  156.8s
step    50000 | reward(last100)  0.1462 | sigma 0.0250 | elapsed  179.0s
step    55000 | reward(last100)  0.0897 | sigma 0.0246 | elapsed  200.4s
step    60000 | reward(last100)  0.0457 | sigma 0.0243 | elapsed  223.0s
step    65000 | reward(last100)  0.0091 | sigma 0.0241 | elapsed  241.6s
step    70000 | reward(last100)  0.0235 | sigma 0.0239 | elapsed  259.6s
step    75000 | reward(last100)  0.0331 | sigma 0.0238 | elapsed  281.4s
step    80000 | reward(last100)  0.0191 | sigma 0.0237 | elapsed  303.6s
step    85000 | reward(last100)  0.0037 | sigma 0.0236 | elapsed  321.9s
step    90000 | reward(last100)  0.0397 | sigma 0.0236 | elapsed  339.6s
step    95000 | reward(last100)  0.0198 | sigma 0.0235 | elapsed  357.0s
step   100000 | reward(last100)  0.0347 | sigma 0.0235 | elapsed  376.4s
step   105000 | reward(last100)  0.0654 | sigma 0.0234 | elapsed  399.8s
step   110000 | reward(last100)  0.1074 | sigma 0.0234 | elapsed  422.5s
step   115000 | reward(last100)  0.0393 | sigma 0.0234 | elapsed  444.9s
step   120000 | reward(last100)  0.0441 | sigma 0.0234 | elapsed  465.8s
step   125000 | reward(last100)  0.0742 | sigma 0.0234 | elapsed  487.9s
step   130000 | reward(last100)  0.0769 | sigma 0.0234 | elapsed  508.2s
step   135000 | reward(last100)  0.0660 | sigma 0.0234 | elapsed  527.0s
step   140000 | reward(last100)  0.0622 | sigma 0.0234 | elapsed  548.9s
step   145000 | reward(last100)  0.0815 | sigma 0.0233 | elapsed  571.3s
step   150000 | reward(last100)  0.0311 | sigma 0.0233 | elapsed  591.3s
step   155000 | reward(last100)  0.0642 | sigma 0.0233 | elapsed  611.5s
step   160000 | reward(last100)  0.0678 | sigma 0.0233 | elapsed  628.4s
step   165000 | reward(last100)  0.0686 | sigma 0.0233 | elapsed  645.6s
step   170000 | reward(last100)  0.0477 | sigma 0.0233 | elapsed  667.5s
step   175000 | reward(last100)  0.0767 | sigma 0.0232 | elapsed  688.1s
step   180000 | reward(last100)  0.0650 | sigma 0.0232 | elapsed  710.3s
step   185000 | reward(last100)  0.1161 | sigma 0.0232 | elapsed  732.1s
step   190000 | reward(last100)  0.1098 | sigma 0.0232 | elapsed  753.8s
step   195000 | reward(last100)  0.1526 | sigma 0.0232 | elapsed  769.9s
step   200000 | reward(last100)  0.1177 | sigma 0.0231 | elapsed  789.5s
step   205000 | reward(last100)  0.0783 | sigma 0.0232 | elapsed  809.0s
step   210000 | reward(last100)  0.0968 | sigma 0.0231 | elapsed  830.4s
step   215000 | reward(last100)  0.1100 | sigma 0.0231 | elapsed  851.3s
step   220000 | reward(last100)  0.0789 | sigma 0.0231 | elapsed  869.9s
step   225000 | reward(last100)  0.0576 | sigma 0.0231 | elapsed  892.9s
step   230000 | reward(last100)  0.0738 | sigma 0.0231 | elapsed  915.1s
step   235000 | reward(last100)  0.0991 | sigma 0.0231 | elapsed  938.9s
step   240000 | reward(last100)  0.1074 | sigma 0.0232 | elapsed  962.1s
step   245000 | reward(last100)  0.1444 | sigma 0.0231 | elapsed  985.5s
step   250000 | reward(last100)  0.1157 | sigma 0.0232 | elapsed 1005.9s
step   255000 | reward(last100)  0.1064 | sigma 0.0231 | elapsed 1022.7s
step   260000 | reward(last100)  0.0842 | sigma 0.0231 | elapsed 1042.8s
step   265000 | reward(last100)  0.0874 | sigma 0.0231 | elapsed 1064.0s
step   270000 | reward(last100)  0.0865 | sigma 0.0231 | elapsed 1083.8s
step   275000 | reward(last100)  0.1106 | sigma 0.0231 | elapsed 1104.7s
step   280000 | reward(last100)  0.0824 | sigma 0.0231 | elapsed 1125.5s
step   285000 | reward(last100)  0.1457 | sigma 0.0231 | elapsed 1146.7s
step   290000 | reward(last100)  0.1401 | sigma 0.0232 | elapsed 1167.8s
step   295000 | reward(last100)  0.0763 | sigma 0.0231 | elapsed 1184.7s
step   300000 | reward(last100)  0.0989 | sigma 0.0232 | elapsed 1205.7s
