step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    4.3s
step    10000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    8.6s
step    15000 | reward(last100)  0.0258 | sigma 0.0301 | elapsed   31.5s
step    20000 | reward(last100)  0.1594 | sigma 0.0284 | elapsed   55.1s
step    25000 | reward(last100)  0.6946 | sigma 0.0268 | elapsed   78.4s
step    30000 | reward(last100)  0.8499 | sigma 0.0256 | elapsed  102.2s
step    35000 | reward(last100)  0.6664 | sigma 0.0245 | elapsed  126.4s
step    40000 | reward(last100)  0.4821 | sigma 0.0239 | elapsed  152.0s
step    45000 | reward(last100)  0.3097 | sigma 0.0236 | elapsed  172.1s
step    50000 | reward(last100)  0.1379 | sigma 0.0234 | elapsed  188.1s
step    55000 | reward(last100)  0.0125 | sigma 0.0232 | elapsed  207.5s
step    60000 | reward(last100)  0.0018 | sigma 0.0230 | elapsed  225.8s
step    65000 | reward(last100)  0.0018 | sigma 0.0229 | elapsed  245.2s
step    70000 | reward(last100)  0.0018 | sigma 0.0228 | elapsed  267.0s
step    75000 | reward(last100)  0.0147 | sigma 0.0227 | elapsed  289.4s
step    80000 | reward(last100)  0.0211 | sigma 0.0227 | elapsed  312.9s
step    85000 | reward(last100)  0.0297 | sigma 0.0227 | elapsed  336.2s
step    90000 | reward(last100)  0.0774 | sigma 0.0226 | elapsed  354.5s
step    95000 | reward(last100)  0.1712 | sigma 0.0226 | elapsed  376.3s
step   100000 | reward(last100)  0.8079 | sigma 0.0225 | elapsed  400.3s
step   105000 | reward(last100)  0.7672 | sigma 0.0225 | elapsed  418.1s
step   110000 | reward(last100)  0.8208 | sigma 0.0225 | elapsed  436.6s
step   115000 | reward(last100)  0.8622 | sigma 0.0224 | elapsed  455.3s
step   120000 | reward(last100)  0.8748 | sigma 0.0224 | elapsed  476.4s
step   125000 | reward(last100)  0.8516 | sigma 0.0223 | elapsed  499.3s
step   130000 | reward(last100)  0.9204 | sigma 0.0223 | elapsed  521.9s
step   135000 | reward(last100)  0.9405 | sigma 0.0222 | elapsed  541.7s
step   140000 | reward(last100)  0.9522 | sigma 0.0221 | elapsed  559.8s
step   145000 | reward(last100)  0.9519 | sigma 0.0221 | elapsed  579.3s
step   150000 | reward(last100)  0.9503 | sigma 0.0220 | elapsed  600.5s
step   155000 | reward(last100)  0.9485 | sigma 0.0220 | elapsed  619.0s
step   160000 | reward(last100)  0.9495 | sigma 0.0220 | elapsed  638.6s
step   165000 | reward(last100)  0.9504 | sigma 0.0220 | elapsed  656.7s
step   170000 | reward(last100)  0.9441 | sigma 0.0219 | elapsed  678.2s
step   175000 | reward(last100)  0.9502 | sigma 0.0219 | elapsed  699.4s
step   180000 | reward(last100)  0.9494 | sigma 0.0219 | elapsed  717.9s
step   185000 | reward(last100)  0.9397 | sigma 0.0219 | elapsed  734.6s
step   190000 | reward(last100)  0.9378 | sigma 0.0219 | elapsed  754.4s
step   195000 | reward(last100)  0.9449 | sigma 0.0220 | elapsed  775.6s
step   200000 | reward(last100)  0.9433 | sigma 0.0219 | elapsed  798.3s
step   205000 | reward(last100)  0.9455 | sigma 0.0219 | elapsed  820.6s
step   210000 | reward(last100)  0.9451 | sigma 0.0220 | elapsed  837.7s
step   215000 | reward(last100)  0.9507 | sigma 0.0219 | elapsed  854.1s
step   220000 | reward(last100)  0.9513 | sigma 0.0219 | elapsed  873.1s
step   225000 | reward(last100)  0.9481 | sigma 0.0219 | elapsed  895.9s
step   230000 | reward(last100)  0.9485 | sigma 0.0219 | elapsed  918.2s
step   235000 | reward(last100)  0.9514 | sigma 0.0219 | elapsed  942.1s
step   240000 | reward(last100)  0.9519 | sigma 0.0219 | elapsed  965.3s
step   245000 | reward(last100)  0.9516 | sigma 0.0220 | elapsed  988.3s
step   250000 | reward(last100)  0.9512 | sigma 0.0219 | elapsed 1006.1s
step   255000 | reward(last100)  0.9507 | sigma 0.0219 | elapsed 1024.1s
step   260000 | reward(last100)  0.9516 | sigma 0.0219 | elapsed 1044.6s
step   265000 | reward(last100)  0.9523 | sigma 0.0219 | elapsed 1066.2s
step   270000 | reward(last100)  0.9531 | sigma 0.0219 | elapsed 1087.6s
step   275000 | reward(last100)  0.9501 | sigma 0.0219 | elapsed 1109.4s
step   280000 | reward(last100)  0.9482 | sigma 0.0219 | elapsed 1130.7s
step   285000 | reward(last100)  0.9509 | sigma 0.0219 | elapsed 1148.0s
step   290000 | reward(last100)  0.9489 | sigma 0.0219 | elapsed 1165.4s
step   295000 | reward(last100)  0.9505 | sigma 0.0219 | elapsed 1182.8s
step   300000 | reward(last100)  0.9531 | sigma 0.0219 | elapsed 1203.3s
step   305000 | reward(last100)  0.9484 | sigma 0.0219 | elapsed 1224.0s
step   310000 | reward(last100)  0.9518 | sigma 0.0219 | elapsed 1241.3s
step   315000 | reward(last100)  0.9504 | sigma 0.0220 | elapsed 1259.6s
step   320000 | reward(last100)  0.9516 | sigma 0.0219 | elapsed 1276.6s
step   325000 | reward(last100)  0.9509 | sigma 0.0219 | elapsed 1297.0s
step   330000 | reward(last100)  0.9523 | sigma 0.0220 | elapsed 1318.9s
step   335000 | reward(last100)  0.9511 | sigma 0.0220 | elapsed 1340.3s
step   340000 | reward(last100)  0.9525 | sigma 0.0220 | elapsed 1361.9s
step   345000 | reward(last100)  0.9499 | sigma 0.0220 | elapsed 1384.3s
step   350000 | reward(last100)  0.9489 | sigma 0.0220 | elapsed 1406.9s
step   355000 | reward(last100)  0.9482 | sigma 0.0220 | elapsed 1425.4s
step   360000 | reward(last100)  0.9489 | sigma 0.0220 | elapsed 1441.8s
