step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    3.5s
step    10000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    7.0s
step    15000 | reward(last100)  0.0000 | sigma 0.0302 | elapsed   19.7s
step    20000 | reward(last100)  0.0522 | sigma 0.0287 | elapsed   32.4s
step    25000 | reward(last100)  0.0438 | sigma 0.0271 | elapsed   45.0s
step    30000 | reward(last100)  0.0371 | sigma 0.0262 | elapsed   57.6s
step    35000 | reward(last100)  0.0346 | sigma 0.0257 | elapsed   70.3s
step    40000 | reward(last100)  0.0367 | sigma 0.0255 | elapsed   83.0s
step    45000 | reward(last100)  0.0471 | sigma 0.0253 | elapsed   95.7s
step    50000 | reward(last100)  0.0607 | sigma 0.0252 | elapsed  108.4s
step    55000 | reward(last100)  0.0419 | sigma 0.0252 | elapsed  131.1s
step    60000 | reward(last100)  0.0479 | sigma 0.0251 | elapsed  151.4s
step    65000 | reward(last100)  0.0563 | sigma 0.0250 | elapsed  170.7s
step    70000 | reward(last100)  0.0723 | sigma 0.0250 | elapsed  190.0s
step    75000 | reward(last100)  0.0733 | sigma 0.0249 | elapsed  209.2s
step    80000 | reward(last100)  0.0807 | sigma 0.0249 | elapsed  228.6s
step    85000 | reward(last100)  0.0700 | sigma 0.0248 | elapsed  249.0s
step    90000 | reward(last100)  0.0761 | sigma 0.0248 | elapsed  269.9s
step    95000 | reward(last100)  0.0916 | sigma 0.0247 | elapsed  289.7s
step   100000 | reward(last100)  0.1064 | sigma 0.0247 | elapsed  309.4s
step   105000 | reward(last100)  0.1116 | sigma 0.0246 | elapsed  327.4s
step   110000 | reward(last100)  0.1432 | sigma 0.0246 | elapsed  344.6s
step   115000 | reward(last100)  0.2145 | sigma 0.0246 | elapsed  366.7s
step   120000 | reward(last100)  0.3331 | sigma 0.0246 | elapsed  390.1s
step   125000 | reward(last100)  0.4838 | sigma 0.0245 | elapsed  413.6s
step   130000 | reward(last100)  0.4864 | sigma 0.0245 | elapsed  436.9s
step   135000 | reward(last100)  0.4556 | sigma 0.0244 | elapsed  458.7s
step   140000 | reward(last100)  0.4014 | sigma 0.0243 | elapsed  475.0s
step   145000 | reward(last100)  0.3314 | sigma 0.0242 | elapsed  493.5s
step   150000 | reward(last100)  0.2403 | sigma 0.0241 | elapsed  513.7s
step   155000 | reward(last100)  0.2283 | sigma 0.0240 | elapsed  526.6s
step   160000 | reward(last100)  0.2164 | sigma 0.0238 | elapsed  539.2s
step   165000 | reward(last100)  0.2163 | sigma 0.0237 | elapsed  551.8s
step   170000 | reward(last100)  0.2289 | sigma 0.0236 | elapsed  564.4s
step   175000 | reward(last100)  0.2524 | sigma 0.0236 | elapsed  577.0s
step   180000 | reward(last100)  0.2748 | sigma 0.0235 | elapsed  589.6s
step   185000 | reward(last100)  0.2844 | sigma 0.0235 | elapsed  602.2s
step   190000 | reward(last100)  0.3307 | sigma 0.0235 | elapsed  614.8s
step   195000 | reward(last100)  0.4546 | sigma 0.0235 | elapsed  627.5s
step   200000 | reward(last100)  0.5500 | sigma 0.0234 | elapsed  640.1s
step   205000 | reward(last100)  0.5880 | sigma 0.0234 | elapsed  654.8s
step   210000 | reward(last100)  0.5870 | sigma 0.0234 | elapsed  667.7s
step   215000 | reward(last100)  0.6072 | sigma 0.0234 | elapsed  680.6s
step   220000 | reward(last100)  0.7303 | sigma 0.0234 | elapsed  693.5s
step   225000 | reward(last100)  0.7065 | sigma 0.0234 | elapsed  706.5s
step   230000 | reward(last100)  0.7546 | sigma 0.0234 | elapsed  719.4s
step   235000 | reward(last100)  0.8156 | sigma 0.0233 | elapsed  732.4s
step   240000 | reward(last100)  0.7895 | sigma 0.0233 | elapsed  745.4s
step   245000 | reward(last100)  0.7939 | sigma 0.0233 | elapsed  758.4s
