step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    6.3s
step   410000 | reward(last100)  0.9514 | sigma 0.0234 | elapsed 1638.6s
step   415000 | reward(last100)  0.9490 | sigma 0.0234 | elapsed 1660.6s
step   420000 | reward(last100)  0.9409 | sigma 0.0234 | elapsed 1684.5s
step   425000 | reward(last100)  0.9437 | sigma 0.0234 | elapsed 1703.9s
step   430000 | reward(last100)  0.9520 | sigma 0.0234 | elapsed 1719.8s
step   435000 | reward(last100)  0.9517 | sigma 0.0234 | elapsed 1736.1s
step   440000 | reward(last100)  0.9525 | sigma 0.0234 | elapsed 1752.4s
step   445000 | reward(last100)  0.9478 | sigma 0.0234 | elapsed 1768.5s
step   450000 | reward(last100)  0.9508 | sigma 0.0234 | elapsed 1786.2s
step   455000 | reward(last100)  0.9469 | sigma 0.0234 | elapsed 1805.6s
step   460000 | reward(last100)  0.9520 | sigma 0.0234 | elapsed 1828.7s
step   465000 | reward(last100)  0.9533 | sigma 0.0234 | elapsed 1853.1s
step   470000 | reward(last100)  0.9498 | sigma 0.0234 | elapsed 1878.2s
step   475000 | reward(last100)  0.9522 | sigma 0.0234 | elapsed 1904.6s
step   480000 | reward(last100)  0.9530 | sigma 0.0234 | elapsed 1927.6s
step   485000 | reward(last100)  0.9511 | sigma 0.0234 | elapsed 1946.4s
step   490000 | reward(last100)  0.9483 | sigma 0.0234 | elapsed 1968.9s
step   495000 | reward(last100)  0.9518 | sigma 0.0234 | elapsed 1992.0s
step   500000 | reward(last100)  0.9483 | sigma 0.0234 | elapsed 2012.3s
