step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    6.2s
step    10000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed   12.7s
step    15000 | reward(last100)  0.0000 | sigma 0.0298 | elapsed   38.0s
step    20000 | reward(last100)  0.0000 | sigma 0.0285 | elapsed   62.5s
step    25000 | reward(last100)  0.0000 | sigma 0.0276 | elapsed   86.8s
step    30000 | reward(last100)  0.0073 | sigma 0.0272 | elapsed  111.1s
step    35000 | reward(last100)  0.0063 | sigma 0.0271 | elapsed  132.2s
step    40000 | reward(last100)  0.0071 | sigma 0.0270 | elapsed  151.0s
step    45000 | reward(last100)  0.0286 | sigma 0.0269 | elapsed  172.8s
step    50000 | reward(last100)  0.0350 | sigma 0.0269 | elapsed  194.3s
step    55000 | reward(last100)  0.0350 | sigma 0.0268 | elapsed  214.6s
step    60000 | reward(last100)  0.0376 | sigma 0.0268 | elapsed  238.2s
step    65000 | reward(last100)  0.0634 | sigma 0.0267 | elapsed  256.4s
step    70000 | reward(last100)  0.0673 | sigma 0.0266 | elapsed  272.9s
step    75000 | reward(last100)  0.1080 | sigma 0.0265 | elapsed  292.6s
step    80000 | reward(last100)  0.1084 | sigma 0.0264 | elapsed  314.0s
step    85000 | reward(last100)  0.1487 | sigma 0.0262 | elapsed  334.7s
step    90000 | reward(last100)  0.1487 | sigma 0.0261 | elapsed  356.6s
step    95000 | reward(last100)  0.1232 | sigma 0.0259 | elapsed  377.9s
step   100000 | reward(last100)  0.1160 | sigma 0.0258 | elapsed  398.4s
step   105000 | reward(last100)  0.0964 | sigma 0.0257 | elapsed  416.6s
step   110000 | reward(last100)  0.0583 | sigma 0.0256 | elapsed  434.5s
step   115000 | reward(last100)  0.0421 | sigma 0.0255 | elapsed  450.9s
step   120000 | reward(last100)  0.0018 | sigma 0.0253 | elapsed  467.9s
step   125000 | reward(last100)  0.0018 | sigma 0.0251 | elapsed  486.9s
step   130000 | reward(last100)  0.0018 | sigma 0.0249 | elapsed  505.9s
step   135000 | reward(last100)  0.0000 | sigma 0.0248 | elapsed  525.9s
step   140000 | reward(last100)  0.0000 | sigma 0.0247 | elapsed  545.5s
step   145000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed  564.1s
step   150000 | reward(last100)  0.0000 | sigma 0.0245 | elapsed  584.9s
step   155000 | reward(last100)  0.0000 | sigma 0.0245 | elapsed  602.5s
step   160000 | reward(last100)  0.0000 | sigma 0.0244 | elapsed  621.1s
step   165000 | reward(last100)  0.0000 | sigma 0.0244 | elapsed  643.9s
step   170000 | reward(last100)  0.0000 | sigma 0.0244 | elapsed  666.5s
step   175000 | reward(last100)  0.0000 | sigma 0.0244 | elapsed  687.7s
step   180000 | reward(last100)  0.0000 | sigma 0.0244 | elapsed  704.6s
step   185000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  723.0s
step   190000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  742.5s
step   195000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  759.1s
step   200000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  777.6s
step   205000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  793.8s
step   210000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  809.6s
step   215000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  832.2s
step   220000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  853.9s
step   225000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  875.9s
step   230000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  897.6s
step   235000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  918.7s
step   240000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  940.4s
step   245000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  961.8s
step   250000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  983.3s
step   255000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed 1000.4s
step   260000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed 1017.6s
step   265000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed 1038.8s
step   270000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed 1060.9s
step   275000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed 1082.8s
step   280000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed 1104.8s
step   285000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed 1127.4s
step   290000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed 1150.2s
step   295000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed 1169.5s
step   300000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed 1185.0s
step   305000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed 1203.5s
step   310000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed 1219.1s
step   315000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed 1237.4s
step   320000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed 1260.6s
step   325000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed 1285.7s
step   330000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed 1308.9s
step   335000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed 1329.5s
step   340000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed 1347.5s
step   345000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed 1365.9s
step   350000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed 1386.3s
step   355000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed 1408.5s
step   360000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed 1430.0s
step   365000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed 1449.5s
step   370000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed 1466.7s
step   375000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed 1484.5s
step   380000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed 1502.0s
step   385000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed 1518.9s
step   390000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed 1536.9s
step   395000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed 1558.2s
step   400000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed 1579.3s
step   405000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed 1598.0s
step   410000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed 1617.9s
step   415000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed 1637.1s
step   420000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed 1655.4s
step   425000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed 1675.9s
step   430000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed 1691.7s
step   435000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed 1706.9s
